Authors,Title,Year,Volume,T_tokens_,T_tokens,T_tokens_join,T_tokens_VOS,,,,,,
CREHAN K.D.; KOEHLER R.A.; SLAKTER M.J.,LONGITUDINAL STUDIES OF TEST?êWISENESS,1974,11,"['LONGITUDINAL', 'study', 'test?êwiseness']","['longitudinal', 'study', 'test?êwiseness']",longitudinal study test?êwiseness,longitudinal; study; test?êwiseness,,,,,,
TAMIR P.,AN INQUIRY ORIENTED LABORATORY EXAMINATION,1974,11,"['INQUIRY', 'orient', 'LABORATORY', 'examination']","['inquiry', 'orient', 'laboratory', 'examination']",inquiry orient laboratory examination,inquiry; orient; laboratory; examination,,,,,,
NOVICK M.R.; PETERSEN N.S.,TOWARDS EQUALIZING EDUCATIONAL AND EMPLOYMENT OPPORTUNITY,1976,13,"['EQUALIZING', 'EDUCATIONAL', 'EMPLOYMENT', 'OPPORTUNITY']","['equalizing', 'educational', 'employment', 'opportunity']",equalizing educational employment opportunity,equalizing; educational; employment; opportunity,,,,,,
DAVIS G.A.; SUBKOVIAK M.J.,MULTIDIMENSIONAL ANALYSIS OF A PERSONALITY?êBASED TEST OF CREATIVE POTENTIAL,1975,12,"['MULTIDIMENSIONAL', 'ANALYSIS', 'personality?-based', 'creative', 'potential']","['multidimensional', 'analysis', 'personality?-based', 'creative', 'potential']",multidimensional analysis personality?-based creative potential,multidimensional; analysis; personality?-based; creative; potential,,,,,,
MARCO G.L.; MURPHY R.T.; QUIRK T.J.,A CLASSIFICATION OF METHODS OF USING STUDENT DATA TO ASSESS SCHOOL EFFECTIVENESS,1976,13,"['classification', 'METHODS', 'student', 'datum', 'assess', 'SCHOOL', 'effectiveness']","['classification', 'methods', 'student', 'datum', 'assess', 'school', 'effectiveness']",classification methods student datum assess school effectiveness,classification; methods; student; datum; assess; school; effectiveness,,,,,,
ROWLEY G.L.,WHICH EXAMINEES ARE MOST FAVOURED BY THE USE OF MULTIPLE CHOICE TESTS?,1974,11,"['examinees', 'favoured', 'multiple', 'choice']","['examinees', 'favoured', 'multiple', 'choice']",examinees favoured multiple choice,examinees; favoured; multiple; choice,,,,,,
BRELAND H.M.; IRONSON G.H.,DEFUNIS RECONSIDERED: A COMPARATIVE ANALYSIS OF ALTERNATIVE ADMISSIONS STRATEGIES,1976,13,"['DEFUNIS', 'RECONSIDERED', 'comparative', 'analysis', 'alternative', 'ADMISSIONS', 'strategy']","['defunis', 'reconsidered', 'comparative', 'analysis', 'alternative', 'admissions', 'strategy']",defunis reconsidered comparative analysis alternative admissions strategy,defunis; reconsidered; comparative; analysis; alternative; admissions; strategy,,,,,,
MATHEWS W.M.,NARRATIVE FORMAT TESTING REPORTS AND TRADITIONAL TESTING REPORTS: A COMPARATIVE STUDY,1973,10,"['NARRATIVE', 'FORMAT', 'TESTING', 'REPORTS', 'TRADITIONAL', 'testing', 'REPORTS', 'comparative', 'study']","['narrative', 'format', 'testing', 'reports', 'traditional', 'testing', 'reports', 'comparative', 'study']",narrative format testing reports traditional testing reports comparative study,narrative; format; testing; reports; traditional; testing; reports; comparative; study,,,,,,
WRIGHT R.J.; BEAN A.G.,THE INFLUENCE OF SOCIOECONOMIC STATUS ON THE PREDICTABILITY OF COLLEGE PERFORMANCE,1974,11,"['INFLUENCE', 'SOCIOECONOMIC', 'STATUS', 'PREDICTABILITY', 'COLLEGE', 'performance']","['influence', 'socioeconomic', 'status', 'predictability', 'college', 'performance']",influence socioeconomic status predictability college performance,influence; socioeconomic; status; predictability; college; performance,,,,,,
GOLDMAN R.D.,HIDDEN OPPORTUNITIES IN THE PREDICTION OF COLLEGE GRADES FOR DIFFERENT SUBGROUPS,1973,10,"['HIDDEN', 'opportunity', 'prediction', 'COLLEGE', 'GRADES', 'different', 'subgroups']","['hidden', 'opportunity', 'prediction', 'college', 'grades', 'different', 'subgroups']",hidden opportunity prediction college grades different subgroups,hidden; opportunity; prediction; college; grades; different; subgroups,,,,,,
LEWY A.; SHAVIT S.,TYPES OF EXAMINATIONS IN HISTORY STUDIES,1974,11,"['TYPES', 'examination', 'history', 'study']","['types', 'examination', 'history', 'study']",types examination history study,types; examination; history; study,,,,,,
JESSELL J.C.; SULLINS W.L.,THE EFFECT OF KEYED RESPONSE SEQUENCING OF MULTIPLE CHOICE ITEMS ON PERFORMANCE AND RELIABILITY,1975,12,"['effect', 'KEYED', 'RESPONSE', 'sequencing', 'multiple', 'choice', 'items', 'ON', 'performance', 'reliability']","['effect', 'keyed', 'response', 'sequencing', 'multiple', 'choice', 'items', 'on', 'performance', 'reliability']",effect keyed response sequencing multiple choice items on performance reliability,effect; keyed; response; sequencing; multiple; choice; items; on; performance; reliability,,,,,,
POHLMANN J.T.; ELMORE P.B.,THE INSTRUCTIONAL IMPROVEMENT QUESTIONNAIRE,1976,13,"['INSTRUCTIONAL', 'IMPROVEMENT', 'questionnaire']","['instructional', 'improvement', 'questionnaire']",instructional improvement questionnaire,instructional; improvement; questionnaire,,,,,,
THISSEN D.M.,INFORMATION IN WRONG RESPONSES TO THE RAVEN PROGRESSIVE MATRICES,1976,13,"['information', 'wrong', 'response', 'RAVEN', 'PROGRESSIVE', 'MATRICES']","['information', 'wrong', 'response', 'raven', 'progressive', 'matrices']",information wrong response raven progressive matrices,information; wrong; response; raven; progressive; matrices,,,,,,
HUYNH H.,ON THE RELIABILITY OF DECISIONS IN DOMAIN?êREFERENCED TESTING,1976,13,"['RELIABILITY', 'decision', 'domain; ceferenced', 'testing']","['reliability', 'decision', 'domain; ceferenced', 'testing']",reliability decision domain; ceferenced testing,reliability; decision; domain; ceferenced; testing,,,,,,
ORY J.C.; POGGIO J.P.,THE EMPIRICAL DEVELOPMENT OF A MEASURE OF ACHIEVEMENT MOTIVATION,1976,13,"['EMPIRICAL', 'DEVELOPMENT', 'measure', 'achievement', 'motivation']","['empirical', 'development', 'measure', 'achievement', 'motivation']",empirical development measure achievement motivation,empirical; development; measure; achievement; motivation,,,,,,
CENTRA J.A.,THE INFLUENCE OF DIFFERENT DIRECTIONS ON STUDENT RATINGS OF INSTRUCTION,1976,13,"['influence', 'different', 'direction', 'student', 'RATINGS', 'instruction']","['influence', 'different', 'direction', 'student', 'ratings', 'instruction']",influence different direction student ratings instruction,influence; different; direction; student; ratings; instruction,,,,,,
HAKSTIAN A.R.; KANSUP W.,A COMPARISON OF SEVERAL METHODS OF ASSESSING PARTIAL KNOWLEDGE IN MULTIPLE?êCHOICE TESTS: II. TESTING PROCEDURES,1975,12,"['comparison', 'methods', 'assess', 'partial', 'KNOWLEDGE', 'multiple choice', 'II', 'TESTING', 'PROCEDURES']","['comparison', 'methods', 'assess', 'partial', 'knowledge', 'multiple choice', 'ii', 'testing', 'procedures']",comparison methods assess partial knowledge multiple choice ii testing procedures,comparison; methods; assess; partial; knowledge; multiple choice; ii; testing; procedures,,,,,,
MILLMAN J.; POPHAM W.J.,THE ISSUE OF ITEM AND TEST VARIANCE FOR CRITERION?êREFERENCED TESTS: A CLARIFICATION,1974,11,"['issue', 'ITEM', 'VARIANCE', 'criterion; ceferenced', 'clarification']","['issue', 'item', 'variance', 'criterion; ceferenced', 'clarification']",issue item variance criterion; ceferenced clarification,issue; item; variance; criterion; ceferenced; clarification,,,,,,
GOLDMAN R.D.; HEWITT B.N.,ADAPTATION?êLEVEL AS AN EXPLANATION FOR DIFFERENTIAL STANDARDS IN COLLEGE GRADING,1975,12,"['ADAPTATION?êLEVEL', 'EXPLANATION', 'differential', 'STANDARDS', 'COLLEGE', 'GRADING']","['adaptation-level', 'explanation', 'differential', 'standards', 'college', 'grading']",adaptation-level explanation differential standards college grading,adaptation-level; explanation; differential; standards; college; grading,,,,,,
CENTRA J.A.,SELF?êRATINGS OF COLLEGE TEACHERS: A COMPARISON WITH STUDENT RATINGS,1973,10,"['self; cating', 'COLLEGE', 'teacher', 'comparison', 'student', 'rating']","['self; cating', 'college', 'teacher', 'comparison', 'student', 'rating']",self; cating college teacher comparison student rating,self; cating; college; teacher; comparison; student; rating,,,,,,
SAWYER R.L.; COLE N.S.; COLE J.W.L.,UTILITIES AND THE ISSUE OF FAIRNESS IN A DECISION THEORETIC MODEL FOR SELECTION,1976,13,"['UTILITIES', 'issue', 'fairness', 'decision', 'theoretic', 'selection']","['utilities', 'issue', 'fairness', 'decision', 'theoretic', 'selection']",utilities issue fairness decision theoretic selection,utilities; issue; fairness; decision; theoretic; selection,,,,,,
LORD F.M.,VARIANCE STABILIZING TRANSFORMATION OF THE STEPPED?êUP RELIABILITY COEFFICIENT,1974,11,"['VARIANCE', 'STABILIZING', 'TRANSFORMATION', 'STEPPED?êUP', 'RELIABILITY', 'COEFFICIENT']","['variance', 'stabilizing', 'transformation', 'stepped?êup', 'reliability', 'coefficient']",variance stabilizing transformation stepped?êup reliability coefficient,variance; stabilizing; transformation; stepped?êup; reliability; coefficient,,,,,,
LORD F.M.,QUICK ESTIMATES OF THE RELATIVE EFFICIENCY OF TWO TESTS AS A FUNCTION OF ABILITY LEVEL,1974,11,"['QUICK', 'estimate', 'relative', 'efficiency', 'function', 'ABILITY', 'level']","['quick', 'estimate', 'relative', 'efficiency', 'function', 'ability', 'level']",quick estimate relative efficiency function ability level,quick; estimate; relative; efficiency; function; ability; level,,,,,,
WHITELY S.E.; DAWIS R.V.,THE NATURE OF OBJECTIVITY WITH THE RASCH MODEL,1974,11,"['nature', 'OBJECTIVITY', 'RASCH', 'MODEL']","['nature', 'objectivity', 'rasch', 'model']",nature objectivity rasch model,nature; objectivity; rasch; model,,,,,,
PATNAIK D.; TRAUB R.E.,DIFFERENTIAL WEIGHTING BY JUDGED DEGREEOF CORRECTNESS,1973,10,"['DIFFERENTIAL', 'WEIGHTING', 'JUDGED', 'DEGREEOF', 'correctness']","['differential', 'weighting', 'judged', 'degreeof', 'correctness']",differential weighting judged degreeof correctness,differential; weighting; judged; degreeof; correctness,,,,,,
FRISBIE D.A.,MULTIPLE CHOICE VERSUS TRUE?êFALSE: A COMPARISON OF RELIABILITIES AND CONCURRENT VALIDITIES,1973,10,"['multiple', 'choice', 'versu', 'true-false', 'comparison', 'reliability', 'concurrent', 'validity']","['multiple', 'choice', 'versu', 'true-false', 'comparison', 'reliability', 'concurrent', 'validity']",multiple choice versu true-false comparison reliability concurrent validity,multiple; choice; versu; true-false; comparison; reliability; concurrent; validity,,,,,,
LOEB J.; BOWERS J.,"PROGRAMS OF STUDY AS A BASIS FOR SELECTION, PLACEMENT AND GUIDANCE OF COLLEGE STUDENTS",1973,10,"['programs', 'study', 'basis', 'selection', 'placement', 'GUIDANCE', 'COLLEGE', 'student']","['programs', 'study', 'basis', 'selection', 'placement', 'guidance', 'college', 'student']",programs study basis selection placement guidance college student,programs; study; basis; selection; placement; guidance; college; student,,,,,,
AIRASIAN P.W.; BART W.M.,VALIDATING A PRIORI INSTRUCTIONAL HIERARCHIES,1975,12,"['validate', 'priori', 'instructional', 'hierarchy']","['validate', 'priori', 'instructional', 'hierarchy']",validate priori instructional hierarchy,validate; priori; instructional; hierarchy,,,,,,
STRANG H.R.; BRIDGEMAN B.; CARRICO M.F.,EFFECTS OF ?úGAME??VERSUS ?úTEST??TASK DEFINITION FOR THIRD GRADE CHILDREN ON THREE SUBTESTS OF THE WECHSLER INTELLIGENCE SCALE FOR CHILDREN,1974,11,"['effect', '""', 'GAME', '""', 'versus', '""', '""', 'TASK', 'definition', 'THIRD', 'GRADE', 'child', 'subtest', 'wechsler', 'intelligence', 'scale', 'CHILDREN']","['effect', '""', 'game', '""', 'versus', '""', '""', 'task', 'definition', 'third', 'grade', 'child', 'subtest', 'wechsler', 'intelligence', 'scale', 'children']","effect "" game "" versus "" "" task definition third grade child subtest wechsler intelligence scale children","effect; ""; game; ""; versus; ""; ""; task; definition; third; grade; child; subtest; wechsler; intelligence; scale; children",,,,,,
POHLMANN J.T.,A DESCRIPTION OF TEACHING EFFECTIVENESS AS MEASURED BY STUDENT RATINGS,1975,12,"['description', 'teaching', 'EFFECTIVENESS', 'measured', 'student', 'rating']","['description', 'teaching', 'effectiveness', 'measured', 'student', 'rating']",description teaching effectiveness measured student rating,description; teaching; effectiveness; measured; student; rating,,,,,,
TOWLE N.J.; MERRILL P.F.,EFFECTS OF ANXIETY TYPE AND ITEM?êDIFFICULTY SEQUENCING ON MATHEMATICS TEST PERFORMANCE,1975,12,"['effect', 'ANXIETY', 'TYPE', 'ITEM?êDIFFICULTY', 'sequence', 'ON', 'MATHEMATICS', 'performance']","['effect', 'anxiety', 'type', 'item-difficulty', 'sequence', 'on', 'mathematics', 'performance']",effect anxiety type item-difficulty sequence on mathematics performance,effect; anxiety; type; item-difficulty; sequence; on; mathematics; performance,,,,,,
PETERSEN N.S.; NOVICK M.R.,AN EVALUATION OF SOME MODELS FOR CULTURE?êFAIR SELECTION,1976,13,"['evaluation', 'MODELS', 'CULTURE?êFAIR', 'SELECTION']","['evaluation', 'models', 'culture-fair', 'selection']",evaluation models culture-fair selection,evaluation; models; culture-fair; selection,,,,,,
PERRIN D.W.; WHITNEY D.R.,METHODS FOR SMOOTHING EXPECTANCY TABLES APPLIED TO THE PREDICTION OF SUCCESS IN COLLEGE,1976,13,"['METHODS', 'SMOOTHING', 'EXPECTANCY', 'tables', 'APPLIED', 'prediction', 'SUCCESS', 'COLLEGE']","['methods', 'smoothing', 'expectancy', 'tables', 'applied', 'prediction', 'success', 'college']",methods smoothing expectancy tables applied prediction success college,methods; smoothing; expectancy; tables; applied; prediction; success; college,,,,,,
HALES L.W.; TOKAR E.,THE EFFECT OF THE QUALITY OF PRECEDING RESPONSES ON THE GRADES ASSIGNED TO SUBSEQUENT RESPONSES TO AN ESSAY QUESTION,1975,12,"['effect', 'QUALITY', 'precede', 'response', 'GRADES', 'assign', 'SUBSEQUENT', 'response', 'ESSAY', 'question']","['effect', 'quality', 'precede', 'response', 'grades', 'assign', 'subsequent', 'response', 'essay', 'question']",effect quality precede response grades assign subsequent response essay question,effect; quality; precede; response; grades; assign; subsequent; response; essay; question,,,,,,
SIROTNIK K.; WELLINGTON R.,SCRAMBLING CONTENT IN ACHIEVEMENT TESTING: AN APPLICATION OF MULTIPLE MATRIX SAMPLING IN EXPERIMENTAL DESIGN,1974,11,"['SCRAMBLING', 'CONTENT', 'achievement', 'application', 'multiple', 'matrix', 'sampling', 'EXPERIMENTAL', 'DESIGN']","['scrambling', 'content', 'achievement', 'application', 'multiple', 'matrix', 'sampling', 'experimental', 'design']",scrambling content achievement application multiple matrix sampling experimental design,scrambling; content; achievement; application; multiple; matrix; sampling; experimental; design,,,,,,
WEN S.?êS.,THE RELATIONSHIP BETWEEN VERBAL?êMEANING TEST SCORES AND DEGREE OF CONFIDENCE IN ITEM RESPONSES,1975,12,"['RELATIONSHIP', 'verbal-meaning', 'SCORES', 'degree', 'confidence', 'ITEM', 'response']","['relationship', 'verbal-meaning', 'scores', 'degree', 'confidence', 'item', 'response']",relationship verbal-meaning scores degree confidence item response,relationship; verbal-meaning; scores; degree; confidence; item; response,,,,,,
EBEL R.L.,CAN TEACHERS WRITE GOOD TRUE?êFALSE TEST ITEMS?,1975,12,"['TEACHERS', 'write', 'good', 'true-false', 'TEST', 'ITEMS']","['teachers', 'write', 'good', 'true-false', 'test', 'items']",teachers write good true-false test items,teachers; write; good; true-false; test; items,,,,,,
HAMBLETON R.K.; NOVICK M.R.,TOWARD AN INTEGRATION OF THEORY AND METHOD FOR CRITERION?êREFERENCED TESTS,1973,10,"['integration', 'THEORY', 'METHOD', 'CRITERION?êREFERENCED']","['integration', 'theory', 'method', 'criterion; ceferenced']",integration theory method criterion; ceferenced,integration; theory; method; criterion; ceferenced,,,,,,
MEDLEY D.M.; QUIRK T.J.,THE APPLICATION OF A FACTORIAL DESIGN TO THE STUDY OF CULTURAL BIAS IN GENERAL CULTURE ITEMS ON THE NATIONAL TEACHER EXAMINATION,1974,11,"['application', 'FACTORIAL', 'design', 'study', 'CULTURAL', 'BIAS', 'GENERAL', 'CULTURE', 'items', 'NATIONAL', 'TEACHER', 'examination']","['application', 'factorial', 'design', 'study', 'cultural', 'bias', 'general', 'culture', 'items', 'national', 'teacher', 'examination']",application factorial design study cultural bias general culture items national teacher examination,application; factorial; design; study; cultural; bias; general; culture; items; national; teacher; examination,,,,,,
KOEHLER R.A.,OVERCONFIDENCE ON PROBABILISTIC TESTS,1974,11,"['overconfidence', 'ON', 'PROBABILISTIC']","['overconfidence', 'on', 'probabilistic']",overconfidence on probabilistic,overconfidence; on; probabilistic,,,,,,
HUMPHREYS L.G.; TABER T.,POSTDICTION STUDY OF THE GRADUATE RECORD EXAMINATION AND EIGHT SEMESTERS OF COLLEGE GRADES,1973,10,"['postdiction', 'study', 'GRADUATE', 'RECORD', 'examination', 'semester', 'COLLEGE', 'GRADES']","['postdiction', 'study', 'graduate', 'record', 'examination', 'semester', 'college', 'grades']",postdiction study graduate record examination semester college grades,postdiction; study; graduate; record; examination; semester; college; grades,,,,,,
LORD F.M.,FORMULA SCORING AND NUMBER?êRIGHT SCORING,1975,12,"['formula', 'scoring', 'number; cight', 'scoring']","['formula', 'scoring', 'number; cight', 'scoring']",formula scoring number; cight scoring,formula; scoring; number; cight; scoring,,,,,,
CALLENBACH C.,THE EFFECTS OF INSTRUCTION AND PRACTICE IN CONTENT?êINDEPENDENT TEST?êTAKING TECHNIQUES UPON THE STANDARDIZED READING TEST SCORES OF SELECTED SECOND?êGRADE STUDENTS,1973,10,"['effect', 'instruction', 'practice', 'CONTENT?êINDEPENDENT', 'test-taking', 'TECHNIQUES', 'UPON', 'standardized', 'read', 'SCORES', 'selected', 'second-grade', 'student']","['effect', 'instruction', 'practice', 'content-independent', 'test-taking', 'techniques', 'upon', 'standardized', 'read', 'scores', 'selected', 'second-grade', 'student']",effect instruction practice content-independent test-taking techniques upon standardized read scores selected second-grade student,effect; instruction; practice; content-independent; test-taking; techniques; upon; standardized; read; scores; selected; second-grade; student,,,,,,
THOMAS J.E.; ROSSON J.; SCHOEMER J.R.,EFFECT OF NON?êTRADITIONAL GRADES ON HIRING PRACTICES OF PUBLIC SCHOOL SYSTEMS,1974,11,"['effect', 'non-traditional', 'GRADES', 'hire', 'PRACTICES', 'PUBLIC', 'SCHOOL', 'systems']","['effect', 'non-traditional', 'grades', 'hire', 'practices', 'public', 'school', 'systems']",effect non-traditional grades hire practices public school systems,effect; non-traditional; grades; hire; practices; public; school; systems,,,,,,
SOCKLOFF A.L.; PAPACOSTAS A.C.,UNIFORMITY OF FACULTY ATTITUDE TOWARD EFFECTIVE TEACHING IN LECTURE/DISCUSSION COURSES,1975,12,"['UNIFORMITY', 'faculty', 'ATTITUDE', 'effective', 'teaching', 'lecturediscussion', 'course']","['uniformity', 'faculty', 'attitude', 'effective', 'teaching', 'lecturediscussion', 'course']",uniformity faculty attitude effective teaching lecturediscussion course,uniformity; faculty; attitude; effective; teaching; lecturediscussion; course,,,,,,
HUNTER J.E.,METHODS OF REORDERING THE CORRELATION MATRIX TO FACILITATE VISUAL INSPECTION AND PRELIMINARY CLUSTER ANALYSIS,1973,10,"['METHODS', 'reorder', 'correlation', 'matrix', 'FACILITATE', 'VISUAL', 'INSPECTION', 'PRELIMINARY', 'CLUSTER', 'ANALYSIS']","['methods', 'reorder', 'correlation', 'matrix', 'facilitate', 'visual', 'inspection', 'preliminary', 'cluster', 'analysis']",methods reorder correlation matrix facilitate visual inspection preliminary cluster analysis,methods; reorder; correlation; matrix; facilitate; visual; inspection; preliminary; cluster; analysis,,,,,,
BASKIN D.,A CONFIGURATION?êSCORING PARADIGM FOR IDENTICAL RAW SCORES,1975,12,"['configuration-scoring', 'PARADIGM', 'identical', 'RAW', 'scores']","['configuration-scoring', 'paradigm', 'identical', 'raw', 'scores']",configuration-scoring paradigm identical raw scores,configuration-scoring; paradigm; identical; raw; scores,,,,,,
FELDT L.S.; FORSYTH R.A.,AN EXAMINATION OF THE CONTEXT EFFECT IN ITEM SAMPLING,1974,11,"['examination', 'context', 'effect', 'ITEM', 'SAMPLING']","['examination', 'context', 'effect', 'item', 'sampling']",examination context effect item sampling,examination; context; effect; item; sampling,,,,,,
PYRCZAK F.,VALIDITY OF THE DISCRIMINATION INDEX AS A MEASURE OF ITEM QUALITY,1973,10,"['VALIDITY', 'discrimination', 'INDEX', 'measure', 'ITEM', 'QUALITY']","['validity', 'discrimination', 'index', 'measure', 'item', 'quality']",validity discrimination index measure item quality,validity; discrimination; index; measure; item; quality,,,,,,
EVANS F.R.; PIKE L.W.,THE EFFECTS OF INSTRUCTION FOR THREE MATHEMATICS ITEM FORMATS,1973,10,"['effect', 'instruction', 'MATHEMATICS', 'ITEM', 'FORMATS']","['effect', 'instruction', 'mathematics', 'item', 'formats']",effect instruction mathematics item formats,effect; instruction; mathematics; item; formats,,,,,,
LINN R.L.,IN SEARCH OF FAIR SELECTION PROCEDURES,1976,13,"['SEARCH', 'fair', 'SELECTION', 'procedures']","['search', 'fair', 'selection', 'procedures']",search fair selection procedures,search; fair; selection; procedures,,,,,,
FAGGEN?êSTECKLER J.; McCARTHY K.A.; TITTLE C.K.,A QUANTITATIVE METHOD FOR MEASURING SEX ?úBIAS??IN STANDARDIZED TESTS,1974,11,"['quantitative', 'METHOD', 'measure', 'SEX', '""', 'BIAS', '""', 'standardized']","['quantitative', 'method', 'measure', 'sex', '""', 'bias', '""', 'standardized']","quantitative method measure sex "" bias "" standardized","quantitative; method; measure; sex; ""; bias; ""; standardized",,,,,,
SHAVELSON R.J.; STANTON G.C.,CONSTRUCT VALIDATION: METHODOLOGY AND APPLICATION TO THREE MEASURES OF COGNITIVE STRUCTURE,1975,12,"['CONSTRUCT', 'VALIDATION', 'methodology', 'application', 'MEASURES', 'cognitive', 'structure']","['construct', 'validation', 'methodology', 'application', 'measures', 'cognitive', 'structure']",construct validation methodology application measures cognitive structure,construct; validation; methodology; application; measures; cognitive; structure,,,,,,
CREHAN K.D.,ITEM ANALYSIS FOR TEACHER?êMADE MASTERY TESTS,1974,11,"['ITEM', 'ANALYSIS', 'TEACHER?êMADE', 'MASTERY']","['item', 'analysis', 'teacher-made', 'mastery']",item analysis teacher-made mastery,item; analysis; teacher-made; mastery,,,,,,
RAFFELD P.,THE EFFECTS OF GUTTMAN WEIGHTS ON THE RELIABILITY AND PREDICTIVE VALIDITY OF OBJECTIVE TESTS WHEN OMISSIONS ARE NOT DIFFERENTIALLY WEIGHTED,1975,12,"['effect', 'GUTTMAN', 'WEIGHTS', 'RELIABILITY', 'predictive', 'VALIDITY', 'objective', 'omission', 'DIFFERENTIALLY', 'weight']","['effect', 'guttman', 'weights', 'reliability', 'predictive', 'validity', 'objective', 'omission', 'differentially', 'weight']",effect guttman weights reliability predictive validity objective omission differentially weight,effect; guttman; weights; reliability; predictive; validity; objective; omission; differentially; weight,,,,,,
SHOEMAKER D.M.; KNAPP T.R.,A NOTE ON TERMINOLOGY AND NOTATION IN MATRIX SAMPLING,1974,11,"['note', 'terminology', 'NOTATION', 'matrix', 'sampling']","['note', 'terminology', 'notation', 'matrix', 'sampling']",note terminology notation matrix sampling,note; terminology; notation; matrix; sampling,,,,,,
FELDT L.S.,WHAT SIZE SAMPLES FOR METHODS/MATERIALS EXPERIMENTS?,1973,10,"['SIZE', 'samples', 'methodsmaterial', 'experiment']","['size', 'samples', 'methodsmaterial', 'experiment']",size samples methodsmaterial experiment,size; samples; methodsmaterial; experiment,,,,,,
ABELES H.F.,A FACET?êFACTORIAL APPROACH TO THE CONSTRUCTION OF RATING SCALES TO MEASURE COMPLEX BEHAVIORS,1973,10,"['facet-factorial', 'approach', 'construction', 'rating', 'SCALES', 'measure', 'COMPLEX', 'BEHAVIORS']","['facet-factorial', 'approach', 'construction', 'rating', 'scales', 'measure', 'complex', 'behaviors']",facet-factorial approach construction rating scales measure complex behaviors,facet-factorial; approach; construction; rating; scales; measure; complex; behaviors,,,,,,
MASTERS E.R.,THE RELATIONSHIP BETWEEN NUMBER OF RESPONSE CATEGORIES AND RELIABILITY OF LIKERT?êTYPE QUESTIONNAIRES,1974,11,"['RELATIONSHIP', 'NUMBER', 'RESPONSE', 'category', 'RELIABILITY', 'LIKERT?êTYPE', 'QUESTIONNAIRES']","['relationship', 'number', 'response', 'category', 'reliability', 'likert-type', 'questionnaires']",relationship number response category reliability likert-type questionnaires,relationship; number; response; category; reliability; likert-type; questionnaires,,,,,,
BRIDGEMAN B.; STRANG H.R.; BUTTRAM J.,?úGAME??VERSUS ?úTEST??INSTRUCTIONS FOR THE WISC,1974,11,"['""', 'GAME', '""', 'versus', '""', '""', 'instruction', 'wisc']","['""', 'game', '""', 'versus', '""', '""', 'instruction', 'wisc']",""" game "" versus "" "" instruction wisc","""; game; ""; versus; ""; ""; instruction; wisc",,,,,,
WOODSON M.I.CHAS.E.,THE ISSUE OF ITEM AND TEST VARIANCE FOR CRITERION?êREFERENCED TESTS: A REPLY,1974,11,"['issue', 'ITEM', 'VARIANCE', 'criterion; ceferenced', 'reply']","['issue', 'item', 'variance', 'criterion; ceferenced', 'reply']",issue item variance criterion; ceferenced reply,issue; item; variance; criterion; ceferenced; reply,,,,,,
KOEHLER R.A.,A COMPARISON OF THE VALIDITIES OF CONVENTIONAL CHOICE TESTING AND VARIOUS CONFIDENCE MARKING PROCEDURES,1971,8,"['comparison', 'validity', 'CONVENTIONAL', 'choice', 'testing', 'confidence', 'mark', 'PROCEDURES']","['comparison', 'validity', 'conventional', 'choice', 'testing', 'confidence', 'mark', 'procedures']",comparison validity conventional choice testing confidence mark procedures,comparison; validity; conventional; choice; testing; confidence; mark; procedures,,,,,,
WOOD D.A.; LANGEVIN M.J.,MODERATING THE PREDICTION OF GRADES IN FRESHMAN ENGINEERING,1972,9,"['moderate', 'prediction', 'GRADES', 'FRESHMAN', 'engineering']","['moderate', 'prediction', 'grades', 'freshman', 'engineering']",moderate prediction grades freshman engineering,moderate; prediction; grades; freshman; engineering,,,,,,
WORTHEN B.R.; CLARK P.M.,TOWARD AN IMPROVED MEASURE OF REMOTE ASSOCIATIONAL ABILITY,1971,8,"['improved', 'measure', 'REMOTE', 'ASSOCIATIONAL', 'ABILITY']","['improved', 'measure', 'remote', 'associational', 'ability']",improved measure remote associational ability,improved; measure; remote; associational; ability,,,,,,
REARDON F.; SENIER J.; LEWIS J.,THE DEVELOPMENT AND EVALUATION OF AN OCCUPATIONAL INVENTORY,1972,9,"['DEVELOPMENT', 'EVALUATION', 'OCCUPATIONAL', 'INVENTORY']","['development', 'evaluation', 'occupational', 'inventory']",development evaluation occupational inventory,development; evaluation; occupational; inventory,,,,,,
JENKINS J.R.; DENO S.L.,ASSESSING KNOWLEDGE OF CONCEPTS AND PRINCIPLES,1971,8,"['assess', 'knowledge', 'CONCEPTS', 'principle']","['assess', 'knowledge', 'concepts', 'principle']",assess knowledge concepts principle,assess; knowledge; concepts; principle,,,,,,
STUFFLEBEAM D.L.,THE USE OF EXPERIMENTAL DESIGN IN EDUCATIONAL EVALUATION,1971,8,"['EXPERIMENTAL', 'DESIGN', 'EDUCATIONAL', 'evaluation']","['experimental', 'design', 'educational', 'evaluation']",experimental design educational evaluation,experimental; design; educational; evaluation,,,,,,
HUMPHREYS L.G.; TABER T.,ABILITY FACTORS AS A FUNCTION OF ADVANTAGED AND DISADVANTAGED GROUPS,1973,10,"['ABILITY', 'factors', 'function', 'ADVANTAGED', 'disadvantaged', 'GROUPS']","['ability', 'factors', 'function', 'advantaged', 'disadvantaged', 'groups']",ability factors function advantaged disadvantaged groups,ability; factors; function; advantaged; disadvantaged; groups,,,,,,
