Authors,Title,Year,Volume,T_tokens_,T_tokens,T_tokens_join,T_tokens_VOS
Veal L.R.,MEASURING WRITING IMPROVEMENT DURING AN NDEA ENGLISH INSTITUTE,1966,3,"['measure', 'write', 'improvement', 'AN', 'NDEA', 'ENGLISH', 'INSTITUTE']","['measure', 'write', 'improvement', 'an', 'ndea', 'english', 'institute']",measure write improvement an ndea english institute,measure; write; improvement; an; ndea; english; institute
Cox R.C.; Graham G.T.,THE DEVELOPMENT OF A SEQUENTIALLY SCALED ACHIEVEMENT TEST,1966,3,"['DEVELOPMENT', 'sequentially', 'scaled', 'achievement']","['development', 'sequentially', 'scaled', 'achievement']",development sequentially scaled achievement,development; sequentially; scaled; achievement
Lehmann I.J.,Curricular Differences in Selected Cognitive and Affective Characteristics,1965,2,"['Curricular', 'Differences', 'Selected', 'Cognitive', 'Affective', 'Characteristics']","['curricular', 'differences', 'selected', 'cognitive', 'affective', 'characteristics']",curricular differences selected cognitive affective characteristics,curricular; differences; selected; cognitive; affective; characteristics
Stodola Q.C.; Peterson D.E.; Holoien M.O.,SOME PRACTICAL USES OF DATA PROCESSING METHODS IN CLASSROOM TESTING AND STUDENT PERSONNEL SERVICES,1965,2,"['PRACTICAL', 'datum', 'processing', 'METHODS', 'classroom', 'testing', 'student', 'PERSONNEL', 'service']","['practical', 'datum', 'processing', 'methods', 'classroom', 'testing', 'student', 'personnel', 'service']",practical datum processing methods classroom testing student personnel service,practical; datum; processing; methods; classroom; testing; student; personnel; service
Astin A.W.,POTENTIAL USES OF DATA COLLECTED THROUGH MASSIVE TESTING PROGRAMS,1965,2,"['POTENTIAL', 'datum', 'collect', 'massive', 'TESTING', 'PROGRAMS']","['potential', 'datum', 'collect', 'massive', 'testing', 'programs']",potential datum collect massive testing programs,potential; datum; collect; massive; testing; programs
Stake R.E.; Womer F.B.; Hills J.R.,THE ANSWER?êSHEET PURCHASER'S DILEMMA,1966,3,"['answer-sheet', 'purchaser', 'DILEMMA']","['answer-sheet', 'purchaser', 'dilemma']",answer-sheet purchaser dilemma,answer-sheet; purchaser; dilemma
Bartlett C.J.,A FORCED?êCHOICE TEACHER ATTITUDE INVENTORY,1966,3,"['forced-choice', 'teacher', 'ATTITUDE', 'INVENTORY']","['forced-choice', 'teacher', 'attitude', 'inventory']",forced-choice teacher attitude inventory,forced-choice; teacher; attitude; inventory
Linn R.L.,GRADE ADJUSTMENTS FOR PREDICTION OF ACADEMIC PERFORMANCE: A REVIEW,1966,3,"['grade', 'adjustment', 'prediction', 'academic', 'PERFORMANCE', 'REVIEW']","['grade', 'adjustment', 'prediction', 'academic', 'performance', 'review']",grade adjustment prediction academic performance review,grade; adjustment; prediction; academic; performance; review
Kowitz G.T.; Armstrong C.M.,PATTERNS OF ACADEMIC DEVELOPMENT,1965,2,"['PATTERNS', 'ACADEMIC', 'DEVELOPMENT']","['patterns', 'academic', 'development']",patterns academic development,patterns; academic; development
Hastings J.T.,CURRICULUM EVALUATION: THE WHY OF THE OUTCOMES,1966,3,"['CURRICULUM', 'evaluation', 'WHY', 'OUTCOMES']","['curriculum', 'evaluation', 'why', 'outcomes']",curriculum evaluation why outcomes,curriculum; evaluation; why; outcomes
Maberly N.C.,CHARACTERISTICS OF INTERNAL CONSISTENCY ESTIMATES WITHIN RESTRICTED SCORE RANGES,1967,4,"['CHARACTERISTICS', 'INTERNAL', 'consistency', 'estimate', 'RESTRICTED', 'SCORE', 'range']","['characteristics', 'internal', 'consistency', 'estimate', 'restricted', 'score', 'range']",characteristics internal consistency estimate restricted score range,characteristics; internal; consistency; estimate; restricted; score; range
Millman J.; Glass G.V.,RULES OF THUMB FOR WRITING THE ANOVA TABLE,1967,4,"['rule', 'THUMB', 'write', 'ANOVA', 'TABLE']","['rule', 'thumb', 'write', 'anova', 'table']",rule thumb write anova table,rule; thumb; write; anova; table
Grobman H.,THE PLACE OF EVALUATION IN THE BIOLOGICAL SCIENCES CURRICULUM STUDY,1966,3,"['PLACE', 'evaluation', 'BIOLOGICAL', 'SCIENCES', 'curriculum', 'study']","['place', 'evaluation', 'biological', 'sciences', 'curriculum', 'study']",place evaluation biological sciences curriculum study,place; evaluation; biological; sciences; curriculum; study
Gelso C.J.; Klock J.A.,THE ?úACADEMIC??VS. THE ?úTOTAL??HIGH SCHOOL AVERAGE: A RE?êEXAMINATION,1967,4,"['""', 'ACADEMIC', '""', 'VS', '""', 'total', '""', 'high', 'SCHOOL', 'AVERAGE', 'A', 're-examination']","['""', 'academic', '""', 'vs', '""', 'total', '""', 'high', 'school', 'average', 'a', 're-examination']",""" academic "" vs "" total "" high school average a re-examination","""; academic; ""; vs; ""; total; ""; high; school; average; a; re-examination"
Bauernfeind R.H.,"TEACHER PREFERENCES FOR TYPES OF STANDARDIZED TESTS: STUDIES IN THREE ILLINOIS SCHOOL DISTRICTS, 1964??965",1967,4,"['teacher', 'preference', 'type', 'standardized', 'study', 'ILLINOIS', 'SCHOOL', 'district', '1964??965']","['teacher', 'preference', 'type', 'standardized', 'study', 'illinois', 'school', 'district', '1964??965']",teacher preference type standardized study illinois school district 1964??965,teacher; preference; type; standardized; study; illinois; school; district; 1964??965
Hanna G.S.,THE USE OF STUDENTS' PREDICTIONS OF SUCCESS IN GEOMETRY AND YEAR OF HIGH SCHOOL TO AUGMENT PREDICTIONS MADE FROM TEST SCORES AND PAST GRADES,1967,4,"['student', 'prediction', 'success', 'GEOMETRY', 'YEAR', 'high', 'SCHOOL', 'AUGMENT', 'prediction', 'SCORES', 'PAST', 'GRADES']","['student', 'prediction', 'success', 'geometry', 'year', 'high', 'school', 'augment', 'prediction', 'scores', 'past', 'grades']",student prediction success geometry year high school augment prediction scores past grades,student; prediction; success; geometry; year; high; school; augment; prediction; scores; past; grades
Justman J.,ACADEMIC APTITUDE AND READING TEST SCORES OF DISADVANTAGED CHILDREN SHOWING VARYING DEGREES OF MOBILITY,1965,2,"['ACADEMIC', 'APTITUDE', 'read', 'SCORES', 'disadvantaged', 'child', 'VARYING', 'DEGREES', 'MOBILITY']","['academic', 'aptitude', 'read', 'scores', 'disadvantaged', 'child', 'varying', 'degrees', 'mobility']",academic aptitude read scores disadvantaged child varying degrees mobility,academic; aptitude; read; scores; disadvantaged; child; varying; degrees; mobility
Lange A.; Lehmann I.J.; Mehrens W.A.,USING ITEM ANALYSIS TO IMPROVE TESTS,1967,4,"['ITEM', 'analysis', 'improve']","['item', 'analysis', 'improve']",item analysis improve,item; analysis; improve
Furst E.J.,TASKS OF EVALUATION IN AN EXPERIMENTAL ECONOMICS COURSE,1966,3,"['tasks', 'evaluation', 'EXPERIMENTAL', 'ECONOMICS', 'COURSE']","['tasks', 'evaluation', 'experimental', 'economics', 'course']",tasks evaluation experimental economics course,tasks; evaluation; experimental; economics; course
Williamson M.L.; Hopkins K.D.,THE USE OF ?úNONE?êOF?êTHESE??VERSUS HOMOGENEOUS ALTERNATIVES ON MULTIPLE?êCHOICE TESTS: EXPERIMENTAL RELIABILITY AND VALIDITY COMPARISONS,1967,4,"['""', 'none-of-these', '""', 'versus', 'homogeneous', 'alternatives', 'ON', 'multiple-choice', 'experimental', 'RELIABILITY', 'VALIDITY', 'comparison']","['""', 'none-of-these', '""', 'versus', 'homogeneous', 'alternatives', 'on', 'multiple-choice', 'experimental', 'reliability', 'validity', 'comparison']",""" none-of-these "" versus homogeneous alternatives on multiple-choice experimental reliability validity comparison","""; none-of-these; ""; versus; homogeneous; alternatives; on; multiple-choice; experimental; reliability; validity; comparison"
Irwin D.O.,RELIABILITY OF THE WECHSLER INTELLIGENCE SCALE FOR CHILDREN,1966,3,"['reliability', 'wechsler', 'intelligence', 'scale', 'CHILDREN']","['reliability', 'wechsler', 'intelligence', 'scale', 'children']",reliability wechsler intelligence scale children,reliability; wechsler; intelligence; scale; children
Bormuth J.R.,OPTIMUM SAMPLE SIZE AND CLOZE TEST LENGTH IN READABILITY MEASUREMENT,1965,2,"['optimum', 'sample', 'SIZE', 'CLOZE', 'LENGTH', 'READABILITY']","['optimum', 'sample', 'size', 'cloze', 'length', 'readability']",optimum sample size cloze length readability,optimum; sample; size; cloze; length; readability
Saupe J.L.,SELECTING ITEMS TO MEASURE CHANGE,1966,3,"['SELECTING', 'items', 'measure', 'change']","['selecting', 'items', 'measure', 'change']",selecting items measure change,selecting; items; measure; change
Cook D.L.; Stufflebeam D.L.,ESTIMATING TEST NORMS FROM VARIABLE SIZE ITEM AND EXAMINEE SAMPLES,1967,4,"['estimate', 'norms', 'variable', 'SIZE', 'ITEM', 'EXAMINEE', 'samples']","['estimate', 'norms', 'variable', 'size', 'item', 'examinee', 'samples']",estimate norms variable size item examinee samples,estimate; norms; variable; size; item; examinee; samples
Adams J.F.,THE RELIABILITY AND ACCURACY OF COMMERCIAL MACHINE SCORING OF THE STRONG VOCATIONAL INTEREST BLANK,1965,2,"['RELIABILITY', 'ACCURACY', 'commercial', 'machine', 'scoring', 'STRONG', 'VOCATIONAL', 'interest', 'BLANK']","['reliability', 'accuracy', 'commercial', 'machine', 'scoring', 'strong', 'vocational', 'interest', 'blank']",reliability accuracy commercial machine scoring strong vocational interest blank,reliability; accuracy; commercial; machine; scoring; strong; vocational; interest; blank
Madaus G.F.,DIVERGENT THINKING AND INTELLIGENCE: ANOTHER LOOK AT A CONTROVERSIAL QUESTION,1967,4,"['divergent', 'thinking', 'intelligence', 'look', 'CONTROVERSIAL', 'question']","['divergent', 'thinking', 'intelligence', 'look', 'controversial', 'question']",divergent thinking intelligence look controversial question,divergent; thinking; intelligence; look; controversial; question
Stordahl K.E.,PREDICTING GRADES IN A MASTER'S?êDEGREE PROGRAM,1967,4,"['predict', 'GRADES', 'MASTERS?êDEGREE', 'program']","['predict', 'grades', 'masters?êdegree', 'program']",predict grades masters?êdegree program,predict; grades; masters?êdegree; program
Miller D.M.; Lutz M.V.,ITEM DESIGN FOR AN INVENTORY OF TEACHING PRACTICES AND LEARNING SITUATIONS,1966,3,"['ITEM', 'DESIGN', 'inventory', 'teaching', 'PRACTICES', 'learn', 'situation']","['item', 'design', 'inventory', 'teaching', 'practices', 'learn', 'situation']",item design inventory teaching practices learn situation,item; design; inventory; teaching; practices; learn; situation
Tully G.E.; Hall B.W.,NOTE: TEST?êRETEST RELIABILITY OF THE SCHOOL AND COLLEGE ABILITY TEST,1965,2,"['note', 'test; cetest', 'RELIABILITY', 'SCHOOL', 'COLLEGE', 'ABILITY']","['note', 'test; cetest', 'reliability', 'school', 'college', 'ability']",note test; cetest reliability school college ability,note; test; cetest; reliability; school; college; ability
Sax G.; Cromack T.R.,THE EFFECTS OF VARIOUS FORMS OF ITEM ARRANGEMENTS ON TEST PERORMANCE,1966,3,"['effect', 'FORMS', 'ITEM', 'arrangement', 'PERORMANCE']","['effect', 'forms', 'item', 'arrangement', 'perormance']",effect forms item arrangement perormance,effect; forms; item; arrangement; perormance
Merwin J.C.,THE PROGRESS OF EXPLORATION TOWARD A NATIONAL ASSESSMENT OF EDUCATIONAL PROGRESS,1966,3,"['progress', 'exploration', 'NATIONAL', 'assessment', 'educational', 'progress']","['progress', 'exploration', 'national', 'assessment', 'educational', 'progress']",progress exploration national assessment educational progress,progress; exploration; national; assessment; educational; progress
Tyler R.W.,THE OBJECTIVES AND PLANS FOR A NATIONAL ASSESSMENT OF EDUCATIONAL PROGRESS,1966,3,"['OBJECTIVES', 'plan', 'NATIONAL', 'assessment', 'educational', 'progress']","['objectives', 'plan', 'national', 'assessment', 'educational', 'progress']",objectives plan national assessment educational progress,objectives; plan; national; assessment; educational; progress
Horn J.L.,SOME CHARACTERISTICS OF CLASSROOM EXAMINATIONS,1966,3,"['CHARACTERISTICS', 'CLASSROOM', 'examination']","['characteristics', 'classroom', 'examination']",characteristics classroom examination,characteristics; classroom; examination
Goyer R.S.,A TEST TO MEASURE THE ABILITY TO ORGANIZE IDEAS,1967,4,"['measure', 'ability', 'organize', 'idea']","['measure', 'ability', 'organize', 'idea']",measure ability organize idea,measure; ability; organize; idea
Lindholm B.W.,A LONGITUDINAL STUDY OF DEVIATION IQs AND GRADES IN SCHOOL,1965,2,"['LONGITUDINAL', 'study', 'deviation', 'iq', 'GRADES', 'SCHOOL']","['longitudinal', 'study', 'deviation', 'iq', 'grades', 'school']",longitudinal study deviation iq grades school,longitudinal; study; deviation; iq; grades; school
Munday L.,PREDICTING COLLEGE GRADES IN PREDOMINANTLY NEGRO COLLEGES,1965,2,"['predict', 'COLLEGE', 'GRADES', 'PREDOMINANTLY', 'NEGRO', 'COLLEGES']","['predict', 'college', 'grades', 'predominantly', 'negro', 'colleges']",predict college grades predominantly negro colleges,predict; college; grades; predominantly; negro; colleges
Milholland J.E.; Womer F.B.,THE RELATION OF NINTH AND TENTH GRADE DIFFERENTIAL APTITUDE TEST SCORES TO CHOICES OF ACADEMIC MAJORS AT THE UNIVERSITY OF MICHIGAN,1965,2,"['RELATION', 'NINTH', 'TENTH', 'GRADE', 'DIFFERENTIAL', 'APTITUDE', 'SCORES', 'CHOICES', 'academic', 'MAJORS', 'UNIVERSITY', 'MICHIGAN']","['relation', 'ninth', 'tenth', 'grade', 'differential', 'aptitude', 'scores', 'choices', 'academic', 'majors', 'university', 'michigan']",relation ninth tenth grade differential aptitude scores choices academic majors university michigan,relation; ninth; tenth; grade; differential; aptitude; scores; choices; academic; majors; university; michigan
Hills J.R.; Bush M.L.; Klock J.A.,KEEPING COLLEGE PREDICTION EQUATIONS CURRENT,1966,3,"['COLLEGE', 'PREDICTION', 'equation', 'CURRENT']","['college', 'prediction', 'equation', 'current']",college prediction equation current,college; prediction; equation; current
"Goolsby T.M., Jr",DIFFERENTIATING BETWEEN MEASURES OF DIFFERENT OUTCOMES IN THE SOCIAL STUDIES,1966,3,"['differentiating', 'MEASURES', 'different', 'OUTCOMES', 'SOCIAL', 'study']","['differentiating', 'measures', 'different', 'outcomes', 'social', 'study']",differentiating measures different outcomes social study,differentiating; measures; different; outcomes; social; study
Creager J.A.,THE USE OF PUBLICATION CITATIONS IN EDUCATIONAL RESEARCH,1966,3,"['publication', 'citation', 'EDUCATIONAL', 'RESEARCH']","['publication', 'citation', 'educational', 'research']",publication citation educational research,publication; citation; educational; research
Cureton E.E.,SIMPLIFIED FORMULAS FOR ITEM ANALYSIS,1966,3,"['SIMPLIFIED', 'FORMULAS', 'ITEM', 'ANALYSIS']","['simplified', 'formulas', 'item', 'analysis']",simplified formulas item analysis,simplified; formulas; item; analysis
Klein S.; Skager R.; Erlebacher W.,MEASURING ARTISTIC CREATIVITY AND FLEXIBILITY,1966,3,"['measure', 'artistic', 'CREATIVITY', 'FLEXIBILITY']","['measure', 'artistic', 'creativity', 'flexibility']",measure artistic creativity flexibility,measure; artistic; creativity; flexibility
Lehmann I.J.,THE COLLEGE FACULTY AS PERCEIVED BY GRADUATES AND NON?êGRADUATES,1966,3,"['COLLEGE', 'FACULTY', 'PERCEIVED', 'BY', 'graduate', 'non-graduates']","['college', 'faculty', 'perceived', 'by', 'graduate', 'non-graduates']",college faculty perceived by graduate non-graduates,college; faculty; perceived; by; graduate; non-graduates
Gerlach V.S.,PREPARING TRANSPARENT KEYS FOR INSPECTING ANSWER SHEETS,1966,3,"['prepare', 'transparent', 'keys', 'inspect', 'ANSWER', 'sheets']","['prepare', 'transparent', 'keys', 'inspect', 'answer', 'sheets']",prepare transparent keys inspect answer sheets,prepare; transparent; keys; inspect; answer; sheets
Greene F.P.,MODIFICATION OF THE CLOZE PROCEDURE AND CHANGES IN READING TEST PERFORMANCES,1965,2,"['modification', 'CLOZE', 'procedure', 'change', 'read', 'performance']","['modification', 'cloze', 'procedure', 'change', 'read', 'performance']",modification cloze procedure change read performance,modification; cloze; procedure; change; read; performance
Abe C.,A FACTOR ANALYTIC STUDY OF SOME NON?êINTELLECTUAL INDICES OF ACADEMIC ACHIEVEMENT,1966,3,"['factor', 'analytic', 'study', 'non-intellectual', 'index', 'ACADEMIC', 'achievement']","['factor', 'analytic', 'study', 'non-intellectual', 'index', 'academic', 'achievement']",factor analytic study non-intellectual index academic achievement,factor; analytic; study; non-intellectual; index; academic; achievement
Dizney H.F.; Beggs D.L.,A COMPARISON OF GRADE EQUIVALENT SCORES BETWEEN GRADE LEVELS ON TWO SUBTESTS OF THE IOWA TESTS OF BASIC SKILLS,1965,2,"['comparison', 'GRADE', 'EQUIVALENT', 'scores', 'GRADE', 'LEVELS', 'SUBTESTS', 'iowa', 'basic', 'skill']","['comparison', 'grade', 'equivalent', 'scores', 'grade', 'levels', 'subtests', 'iowa', 'basic', 'skill']",comparison grade equivalent scores grade levels subtests iowa basic skill,comparison; grade; equivalent; scores; grade; levels; subtests; iowa; basic; skill
Morse P.K.,REPORTING TEST RESULTS: PERCENTILE BANDS VS. PERCENTILE RANKS,1964,1,"['report', 'RESULTS', 'PERCENTILE', 'band', 'VS', 'PERCENTILE', 'rank']","['report', 'results', 'percentile', 'band', 'vs', 'percentile', 'rank']",report results percentile band vs percentile rank,report; results; percentile; band; vs; percentile; rank
Hills J.R.,THE EFFECT OF ADMISSIONS POLICY ON COLLEGE GRADING STANDARDS,1964,1,"['effect', 'ADMISSIONS', 'POLICY', 'ON', 'COLLEGE', 'GRADING', 'STANDARDS']","['effect', 'admissions', 'policy', 'on', 'college', 'grading', 'standards']",effect admissions policy on college grading standards,effect; admissions; policy; on; college; grading; standards
Goodwin W.L.,ADJUSTMENT FOR SEX AND VARIABILITY DIFFERENCES ON THE ALLPORT?êVERNON?êLINDZEY STUDY OF VALUES PROFILES,1964,1,"['adjustment', 'sex', 'VARIABILITY', 'difference', 'allport-vernon-lindzey', 'study', 'values', 'profiles']","['adjustment', 'sex', 'variability', 'difference', 'allport-vernon-lindzey', 'study', 'values', 'profiles']",adjustment sex variability difference allport-vernon-lindzey study values profiles,adjustment; sex; variability; difference; allport-vernon-lindzey; study; values; profiles
Willingham W.W.,AN EMPIRICAL EVALUATION OF THREE TYPES OF COLLEGE GRADE SCALES,1964,1,"['EMPIRICAL', 'evaluation', 'type', 'COLLEGE', 'GRADE', 'scale']","['empirical', 'evaluation', 'type', 'college', 'grade', 'scale']",empirical evaluation type college grade scale,empirical; evaluation; type; college; grade; scale
Glass G.V.,HOW MAY SALIENCE OF A MEMBERSHIP GROUP BE INCREASED?,1964,1,"['MAY', 'SALIENCE', 'MEMBERSHIP', 'GROUP', 'increase']","['may', 'salience', 'membership', 'group', 'increase']",may salience membership group increase,may; salience; membership; group; increase
Baker F.B.,AN INTERSECTION OF TEST SCORE INTERPRETATION AND ITEM ANALYSIS,1964,1,"['intersection', 'SCORE', 'INTERPRETATION', 'ITEM', 'ANALYSIS']","['intersection', 'score', 'interpretation', 'item', 'analysis']",intersection score interpretation item analysis,intersection; score; interpretation; item; analysis
Connolly J.A.; Wantman M.J.,AN EXPLORATION OF ORAL REASONING PROCESSES IN RESPONDING TO OBJECTIVE TEST ITEMS,1964,1,"['exploration', 'oral', 'reasoning', 'process', 'respond', 'objective', 'ITEMS']","['exploration', 'oral', 'reasoning', 'process', 'respond', 'objective', 'items']",exploration oral reasoning process respond objective items,exploration; oral; reasoning; process; respond; objective; items
Lindquist E.F.,EQUATING SCORES ON NON?êPARALLEL TESTS,1964,1,"['EQUATING', 'SCORES', 'ON', 'NON?êPARALLEL', 'TESTS']","['equating', 'scores', 'on', 'non-parallel', 'tests']",equating scores on non-parallel tests,equating; scores; on; non-parallel; tests
"Tillinghast B.S., Jr.",TEN POINTS TO CONSIDER IN MAKING TEST INTERPRETATIONS TO GROUPS,1964,1,"['point', 'consider', 'INTERPRETATIONS', 'GROUPS']","['point', 'consider', 'interpretations', 'groups']",point consider interpretations groups,point; consider; interpretations; groups
Juola A.E.,THE PREDICTION OF COLLEGE DROPOUT FROM FRESHMAN LEVEL ABILITY TEST SCORES,1964,1,"['PREDICTION', 'COLLEGE', 'DROPOUT', 'FRESHMAN', 'LEVEL', 'ABILITY', 'SCORES']","['prediction', 'college', 'dropout', 'freshman', 'level', 'ability', 'scores']",prediction college dropout freshman level ability scores,prediction; college; dropout; freshman; level; ability; scores
Feldhusen J.F.,STUDENT PERCEPTIONS OF FREQUENT QUIZZES AND POST?êMORTEM DISCUSSIONS OF TESTS,1964,1,"['student', 'perception', 'frequent', 'quizzes', 'post-mortem', 'discussion']","['student', 'perception', 'frequent', 'quizzes', 'post-mortem', 'discussion']",student perception frequent quizzes post-mortem discussion,student; perception; frequent; quizzes; post-mortem; discussion
Pruzek R.M.,PREDICTION OF SUCCESS IN ELEMENTARY STATISTICS,1964,1,"['prediction', 'SUCCESS', 'ELEMENTARY', 'STATISTICS']","['prediction', 'success', 'elementary', 'statistics']",prediction success elementary statistics,prediction; success; elementary; statistics
Glass G.V.; Wiley D.E.,FORMULA SCORING AND TEST RELIABILITY,1964,1,"['formula', 'scoring', 'RELIABILITY']","['formula', 'scoring', 'reliability']",formula scoring reliability,formula; scoring; reliability
Engelhart M.D.,A COMPARISON OF SEVERAL ITEM DISCRIMINATION INDICES,1965,2,"['comparison', 'ITEM', 'discrimination', 'index']","['comparison', 'item', 'discrimination', 'index']",comparison item discrimination index,comparison; item; discrimination; index
Flanagan J.C.,OBTAINING USEFUL COMPARABLE SCORES FOR NON?êPARALLEL TESTS AND TEST BATTERIES,1964,1,"['obtain', 'USEFUL', 'COMPARABLE', 'SCORES', 'non-parallel', 'TESTS', 'battery']","['obtain', 'useful', 'comparable', 'scores', 'non-parallel', 'tests', 'battery']",obtain useful comparable scores non-parallel tests battery,obtain; useful; comparable; scores; non-parallel; tests; battery
McKelpin J.P.,SOME IMPLICATIONS OF THE INTELLECTUAL CHARACTERISTICS OF FRESHMEN ENTERING A LIBERAL ARTS COLLEGE,1965,2,"['implication', 'INTELLECTUAL', 'CHARACTERISTICS', 'FRESHMEN', 'ENTERING', 'LIBERAL', 'ARTS', 'COLLEGE']","['implication', 'intellectual', 'characteristics', 'freshmen', 'entering', 'liberal', 'arts', 'college']",implication intellectual characteristics freshmen entering liberal arts college,implication; intellectual; characteristics; freshmen; entering; liberal; arts; college
Krauskopf C.J.,A CONSTRUCT VALIDATION OF A CLASSROOM TEST,1964,1,"['construct', 'validation', 'CLASSROOM']","['construct', 'validation', 'classroom']",construct validation classroom,construct; validation; classroom
Loiselle H.G.,PRACTICAL NORMING CONSIDERATIONS AFFECTING TEST INTERPRETATION,1964,1,"['PRACTICAL', 'NORMING', 'consideration', 'affect', 'INTERPRETATION']","['practical', 'norming', 'consideration', 'affect', 'interpretation']",practical norming consideration affect interpretation,practical; norming; consideration; affect; interpretation
French J.L.; Greer D.,EFFECT OF TEST?êITEM ARRANGEMENT ON PHYSIOLOGICAL AND PSYCHOLOGICAL BEHAVIOR IN PRIMARY?êSCHOOL CHILDREN,1964,1,"['effect', 'TEST?êITEM', 'arrangement', 'PHYSIOLOGICAL', 'psychological', 'behavior', 'PRIMARY?êSCHOOL', 'CHILDREN']","['effect', 'test-item', 'arrangement', 'physiological', 'psychological', 'behavior', 'primary-school', 'children']",effect test-item arrangement physiological psychological behavior primary-school children,effect; test-item; arrangement; physiological; psychological; behavior; primary-school; children
Noll V.H.,IMPLICATIONS FOR POLICY OF THE NATIONAL COUNCIL ON MEASUREMENT IN EDUCATION OF CONANT'S THE EDUCATION OF AMERICAN TEACHERS,1964,1,"['implication', 'policy', 'NATIONAL', 'COUNCIL', 'ON', 'MEASUREMENT', 'conant', 'AMERICAN', 'teacher']","['implication', 'policy', 'national', 'council', 'on', 'measurement', 'conant', 'american', 'teacher']",implication policy national council on measurement conant american teacher,implication; policy; national; council; on; measurement; conant; american; teacher
Stoker H.W.; Kropp R.P.,MEASUREMENT OF COGNITIVE PROCESSES,1964,1,"['MEASUREMENT', 'cognitive', 'process']","['measurement', 'cognitive', 'process']",measurement cognitive process,measurement; cognitive; process
"Giles G.C., Jr.",PREDICTIVE VALIDITY OF PROGRESSIVE MATRICES AND TWO OTHER NONLANGUAGE TESTS OF MENTAL ABILITY,1964,1,"['predictive', 'VALIDITY', 'PROGRESSIVE', 'matrix', 'NONLANGUAGE', 'MENTAL', 'ABILITY']","['predictive', 'validity', 'progressive', 'matrix', 'nonlanguage', 'mental', 'ability']",predictive validity progressive matrix nonlanguage mental ability,predictive; validity; progressive; matrix; nonlanguage; mental; ability
Bereiter C.,HOW MAY UNITS OF MEASUREMENT BE SAFELY IGNORED?,1964,1,"['MAY', 'unit', 'MEASUREMENT', 'SAFELY', 'ignore']","['may', 'unit', 'measurement', 'safely', 'ignore']",may unit measurement safely ignore,may; unit; measurement; safely; ignore
Lennon R.T.,EQUATING NON?êPARALLEL TESTS,1964,1,"['EQUATING', 'NON?êPARALLEL', 'TESTS']","['equating', 'non-parallel', 'tests']",equating non-parallel tests,equating; non-parallel; tests
Angoff W.H.,TECHNICAL PROBLEMS OF OBTAINING EQUIVALENT SCORES ON TESTS,1964,1,"['technical', 'problems', 'obtain', 'EQUIVALENT', 'scores', 'ON', 'TESTS']","['technical', 'problems', 'obtain', 'equivalent', 'scores', 'on', 'tests']",technical problems obtain equivalent scores on tests,technical; problems; obtain; equivalent; scores; on; tests
Ebel R.L.,CONFIDENCE WEIGHTING AND TEST RELIABILITY,1965,2,"['confidence', 'WEIGHTING', 'RELIABILITY']","['confidence', 'weighting', 'reliability']",confidence weighting reliability,confidence; weighting; reliability
Lord F.M.,AN EMPIRICAL COMPARISON OF THE VALIDITY OF CERTAIN FORMULA?êSCORES,1964,1,"['EMPIRICAL', 'comparison', 'VALIDITY', 'certain', 'formula-scores']","['empirical', 'comparison', 'validity', 'certain', 'formula-scores']",empirical comparison validity certain formula-scores,empirical; comparison; validity; certain; formula-scores
Bloom R.; Dunn J.A.; Morse W.C.,DATA?êSOURCE CONSENSUS: A FUNDAMENTAL PROBLEM IN CLASSROOM RESEARCH,1964,1,"['DATA?êSOURCE', 'consensu', 'fundamental', 'problem', 'CLASSROOM', 'RESEARCH']","['data-source', 'consensu', 'fundamental', 'problem', 'classroom', 'research']",data-source consensu fundamental problem classroom research,data-source; consensu; fundamental; problem; classroom; research
Zimmerman W.S.,STATISTICAL PROBLEMS AND SOME RELATED ISSUES IN THE SELECTION OF ITEMS FOR TESTS OF CREATIVITY,1964,1,"['statistical', 'problems', 'related', 'issue', 'selection', 'items', 'CREATIVITY']","['statistical', 'problems', 'related', 'issue', 'selection', 'items', 'creativity']",statistical problems related issue selection items creativity,statistical; problems; related; issue; selection; items; creativity
Michael W.B.,THE MEASUREMENT OF CREATIVITY: OVERVIEW OF FOUR PAPERS,1964,1,"['CREATIVITY', 'OVERVIEW', 'paper']","['creativity', 'overview', 'paper']",creativity overview paper,creativity; overview; paper
Chase C.I.,RELATIVE LENGTH OF OPTIONS AND RESPONSE SET IN MULTIPLE CHOICE ITEMS,1964,1,"['RELATIVE', 'LENGTH', 'OPTIONS', 'RESPONSE', 'SET', 'multiple', 'choice', 'items']","['relative', 'length', 'options', 'response', 'set', 'multiple', 'choice', 'items']",relative length options response set multiple choice items,relative; length; options; response; set; multiple; choice; items
Denny T.; Paterson J.; Feldhusen J.,ANXIETY AND ACHIEVEMENT AS FUNCTIONS OF DAILY TESTING,1964,1,"['ANXIETY', 'ACHIEVEMENT', 'function', 'DAILY', 'testing']","['anxiety', 'achievement', 'function', 'daily', 'testing']",anxiety achievement function daily testing,anxiety; achievement; function; daily; testing
Hills J.R.,PREDICTION OF COLLEGE GRADES FOR ALL PUBLIC COLLEGES OF A STATE,1964,1,"['prediction', 'COLLEGE', 'GRADES', 'PUBLIC', 'COLLEGES', 'state']","['prediction', 'college', 'grades', 'public', 'colleges', 'state']",prediction college grades public colleges state,prediction; college; grades; public; colleges; state
