Authors,Title,Year,Volume,T_tokens_,T_tokens,T_tokens_com,T_tokens_join,T_tokens_VOS
Caldwell E.; Hartnett R.,SEX BIAS IN COLLEGE GRADING?,1967,4,"['SEX', 'BIAS', 'COLLEGE', 'GRADING']","['sex', 'bias', 'college', 'grading']","sex, bias, college, grading",sex bias college grading,sex; bias; college; grading
Hopkins K.D.; Lefever D.W.; Hopkins B.R.,TV VS. TEACHER ADMINISTRATION OF STANDARDIZED TESTS: COMPARABILITY OF SCORES,1967,4,"['tv', 'VS', 'teacher', 'ADMINISTRATION', 'standardized', 'test', 'comparability', 'scores']","['tv', 'vs', 'teacher', 'administration', 'standardized', 'test', 'comparability', 'scores']","tv, vs, teacher, administration, standardized, test, comparability, scores",tv vs teacher administration standardized test comparability scores,tv; vs; teacher; administration; standardized; test; comparability; scores
Stanley J.C.; Porter A.C.,CORRELATION OF SCHOLASTIC APTITUDE TEST SCORE WITH COLLEGE GRADES FOR NEGROES VERSUS WHITES,1967,4,"['correlation', 'SCHOLASTIC', 'APTITUDE', 'test', 'score', 'COLLEGE', 'GRADES', 'NEGROES', 'versus', 'white']","['correlation', 'scholastic', 'aptitude', 'test', 'score', 'college', 'grades', 'negroes', 'versus', 'white']","correlation, scholastic, aptitude, test, score, college, grades, negroes, versus, white",correlation scholastic aptitude test score college grades negroes versus white,correlation; scholastic; aptitude; test; score; college; grades; negroes; versus; white
Coffman W.E.,ON THE VALIDITY OF ESSAY TESTS OF ACHIEVEMENT,1966,3,"['VALIDITY', 'essay', 'test', 'ACHIEVEMENT']","['validity', 'essay', 'test', 'achievement']","validity, essay, test, achievement",validity essay test achievement,validity; essay; test; achievement
Stanley J.C.,ANALYSIS OF VARIANCE OF GAIN SCORES WHEN INITIAL ASSIGNMENT IS RANDOM,1966,3,"['ANALYSIS', 'variance', 'GAIN', 'SCORES', 'INITIAL', 'ASSIGNMENT', 'RANDOM']","['analysis', 'variance', 'gain', 'scores', 'initial', 'assignment', 'random']","analysis, variance, gain, scores, initial, assignment, random",analysis variance gain scores initial assignment random,analysis; variance; gain; scores; initial; assignment; random
Dizney H.,CHARACTERISTICS OF CLASSROOM TEST ITEMS IDENTIFIED BY STUDENTS AS “UNFAIR”,1965,2,"['CHARACTERISTICS', 'CLASSROOM', 'test', 'items', 'identify', 'student', '""', 'unfair', '""']","['characteristics', 'classroom', 'test', 'items', 'identify', 'student', '""', 'unfair', '""']","characteristics, classroom, test, items, identify, student, "", unfair, ""","characteristics classroom test items identify student "" unfair ""","characteristics; classroom; test; items; identify; student; ""; unfair; """
Schwarz J.C.,A NEW PROCEDURE FOR ADMINISTERING OBJECTIVE TESTS TO LARGE CLASSES,1967,4,"['new', 'procedure', 'administer', 'objective', 'test', 'large', 'class']","['new', 'procedure', 'administer', 'objective', 'test', 'large', 'class']","new, procedure, administer, objective, test, large, class",new procedure administer objective test large class,new; procedure; administer; objective; test; large; class
Forehand G.A.,THE ROLE OF THE EVALUATOR IN CURRICULUM RESEARCH,1966,3,"['ROLE', 'EVALUATOR', 'CURRICULUM', 'RESEARCH']","['role', 'evaluator', 'curriculum', 'research']","role, evaluator, curriculum, research",role evaluator curriculum research,role; evaluator; curriculum; research
Adams S.; Yon Brock R.C.,THE DEVELOPMENT OF THE A‐V SCALE OF ATTITUDES TOWARD MATHEMATICS,1967,4,"['DEVELOPMENT', 'A‐V', 'SCALE', 'ATTITUDES', 'MATHEMATICS']","['development', 'a‐v', 'scale', 'attitudes', 'mathematics']","development, a‐v, scale, attitudes, mathematics",development a‐v scale attitudes mathematics,development; a‐v; scale; attitudes; mathematics
Schrader W.B.,A TAXONOMY OF EXPECTANCY TABLES,1965,2,"['TAXONOMY', 'EXPECTANCY', 'tables']","['taxonomy', 'expectancy', 'tables']","taxonomy, expectancy, tables",taxonomy expectancy tables,taxonomy; expectancy; tables
Clark J.L.D.,HEM‐BY‐ITEM PARALLEL ACHIVEMENT TESTS FOR DIFFERENT FOREIGN LANGUAGES,1965,2,"['HEM‐BY‐ITEM', 'PARALLEL', 'achivement', 'test', 'different', 'foreign', 'language']","['hem‐by‐item', 'parallel', 'achivement', 'test', 'different', 'foreign', 'language']","hem‐by‐item, parallel, achivement, test, different, foreign, language",hem‐by‐item parallel achivement test different foreign language,hem‐by‐item; parallel; achivement; test; different; foreign; language
Stanley J.C.,GENERAL AND SPECIAL FORMULAS FOR RELIABILITY OF DIFFERENCES,1967,4,"['GENERAL', 'SPECIAL', 'formulas', 'RELIABILITY', 'difference']","['general', 'special', 'formulas', 'reliability', 'difference']","general, special, formulas, reliability, difference",general special formulas reliability difference,general; special; formulas; reliability; difference
Cooley W.W.,THE PROJECT TALENT DATA BANK,1965,2,"['PROJECT', 'talent', 'DATA', 'BANK']","['project', 'talent', 'data', 'bank']","project, talent, data, bank",project talent data bank,project; talent; data; bank
Hartnett R.T.; Seligsohn H.C.,THE EFFECTS OF VARYING DEGREES OF ANONYMITY ON RESPONSES TO DIFFERENT TYPES OF PSYCHOLOGICAL QUESTIONNAIRES,1967,4,"['effect', 'VARYING', 'DEGREES', 'ANONYMITY', 'ON', 'response', 'different', 'type', 'PSYCHOLOGICAL', 'QUESTIONNAIRES']","['effect', 'varying', 'degrees', 'anonymity', 'on', 'response', 'different', 'type', 'psychological', 'questionnaires']","effect, varying, degrees, anonymity, on, response, different, type, psychological, questionnaires",effect varying degrees anonymity on response different type psychological questionnaires,effect; varying; degrees; anonymity; on; response; different; type; psychological; questionnaires
Covington M.V.,A CHILDHOOD ATTITUDE INVENTORY FOR PROBLEM SOLVING,1966,3,"['CHILDHOOD', 'ATTITUDE', 'INVENTORY', 'problem', 'solving']","['childhood', 'attitude', 'inventory', 'problem', 'solving']","childhood, attitude, inventory, problem, solving",childhood attitude inventory problem solving,childhood; attitude; inventory; problem; solving
Glass G.V.,FACTORS IN TEACHERS' PERCEPTIONS OF STUDENTS,1967,4,"['factor', 'TEACHERS', 'perception', 'student']","['factor', 'teachers', 'perception', 'student']","factor, teachers, perception, student",factor teachers perception student,factor; teachers; perception; student
Yee A.H.,IS THE MINNESOTA TEACHER ATTITUDE INVENTORY VALID AND HOMOGENEOUS?,1967,4,"['minnesota', 'teacher', 'ATTITUDE', 'INVENTORY', 'VALID', 'HOMOGENEOUS']","['minnesota', 'teacher', 'attitude', 'inventory', 'valid', 'homogeneous']","minnesota, teacher, attitude, inventory, valid, homogeneous",minnesota teacher attitude inventory valid homogeneous,minnesota; teacher; attitude; inventory; valid; homogeneous
Cox R.C.,ITEM SELECTION TECHNIQUES AND EVALUATION OF INSTRUCTIONAL OBJECTIVES,1965,2,"['ITEM', 'SELECTION', 'TECHNIQUES', 'evaluation', 'instructional', 'objective']","['item', 'selection', 'techniques', 'evaluation', 'instructional', 'objective']","item, selection, techniques, evaluation, instructional, objective",item selection techniques evaluation instructional objective,item; selection; techniques; evaluation; instructional; objective
"Aiken L.R., Jr",ANOTHER LOOK AT WEIGHTING TEST ITEMS,1966,3,"['LOOK', 'WEIGHTING', 'test', 'ITEMS']","['look', 'weighting', 'test', 'items']","look, weighting, test, items",look weighting test items,look; weighting; test; items
Veal L.R.,MEASURING WRITING IMPROVEMENT DURING AN NDEA ENGLISH INSTITUTE,1966,3,"['measure', 'write', 'improvement', 'AN', 'NDEA', 'ENGLISH', 'INSTITUTE']","['measure', 'write', 'improvement', 'an', 'ndea', 'english', 'institute']","measure, write, improvement, an, ndea, english, institute",measure write improvement an ndea english institute,measure; write; improvement; an; ndea; english; institute
Cox R.C.; Graham G.T.,THE DEVELOPMENT OF A SEQUENTIALLY SCALED ACHIEVEMENT TEST,1966,3,"['DEVELOPMENT', 'sequentially', 'scaled', 'achievement', 'test']","['development', 'sequentially', 'scaled', 'achievement', 'test']","development, sequentially, scaled, achievement, test",development sequentially scaled achievement test,development; sequentially; scaled; achievement; test
Lehmann I.J.,Curricular Differences in Selected Cognitive and Affective Characteristics,1965,2,"['Curricular', 'Differences', 'Selected', 'Cognitive', 'Affective', 'Characteristics']","['curricular', 'differences', 'selected', 'cognitive', 'affective', 'characteristics']","curricular, differences, selected, cognitive, affective, characteristics",curricular differences selected cognitive affective characteristics,curricular; differences; selected; cognitive; affective; characteristics
Stodola Q.C.; Peterson D.E.; Holoien M.O.,SOME PRACTICAL USES OF DATA PROCESSING METHODS IN CLASSROOM TESTING AND STUDENT PERSONNEL SERVICES,1965,2,"['PRACTICAL', 'datum', 'processing', 'METHODS', 'classroom', 'testing', 'student', 'PERSONNEL', 'service']","['practical', 'datum', 'processing', 'methods', 'classroom', 'testing', 'student', 'personnel', 'service']","practical, datum, processing, methods, classroom, testing, student, personnel, service",practical datum processing methods classroom testing student personnel service,practical; datum; processing; methods; classroom; testing; student; personnel; service
Astin A.W.,POTENTIAL USES OF DATA COLLECTED THROUGH MASSIVE TESTING PROGRAMS,1965,2,"['POTENTIAL', 'datum', 'collect', 'massive', 'TESTING', 'PROGRAMS']","['potential', 'datum', 'collect', 'massive', 'testing', 'programs']","potential, datum, collect, massive, testing, programs",potential datum collect massive testing programs,potential; datum; collect; massive; testing; programs
Stake R.E.; Womer F.B.; Hills J.R.,THE ANSWER‐SHEET PURCHASER'S DILEMMA,1966,3,"['answer‐sheet', 'purchaser', 'DILEMMA']","['answer‐sheet', 'purchaser', 'dilemma']","answer‐sheet, purchaser, dilemma",answer‐sheet purchaser dilemma,answer‐sheet; purchaser; dilemma
Bartlett C.J.,A FORCED‐CHOICE TEACHER ATTITUDE INVENTORY,1966,3,"['forced‐choice', 'teacher', 'ATTITUDE', 'INVENTORY']","['forced‐choice', 'teacher', 'attitude', 'inventory']","forced‐choice, teacher, attitude, inventory",forced‐choice teacher attitude inventory,forced‐choice; teacher; attitude; inventory
Linn R.L.,GRADE ADJUSTMENTS FOR PREDICTION OF ACADEMIC PERFORMANCE: A REVIEW,1966,3,"['grade', 'adjustment', 'prediction', 'academic', 'PERFORMANCE', 'REVIEW']","['grade', 'adjustment', 'prediction', 'academic', 'performance', 'review']","grade, adjustment, prediction, academic, performance, review",grade adjustment prediction academic performance review,grade; adjustment; prediction; academic; performance; review
Kowitz G.T.; Armstrong C.M.,PATTERNS OF ACADEMIC DEVELOPMENT,1965,2,"['PATTERNS', 'ACADEMIC', 'DEVELOPMENT']","['patterns', 'academic', 'development']","patterns, academic, development",patterns academic development,patterns; academic; development
Hastings J.T.,CURRICULUM EVALUATION: THE WHY OF THE OUTCOMES,1966,3,"['CURRICULUM', 'evaluation', 'WHY', 'OUTCOMES']","['curriculum', 'evaluation', 'why', 'outcomes']","curriculum, evaluation, why, outcomes",curriculum evaluation why outcomes,curriculum; evaluation; why; outcomes
Maberly N.C.,CHARACTERISTICS OF INTERNAL CONSISTENCY ESTIMATES WITHIN RESTRICTED SCORE RANGES,1967,4,"['CHARACTERISTICS', 'INTERNAL', 'consistency', 'estimate', 'RESTRICTED', 'SCORE', 'range']","['characteristics', 'internal', 'consistency', 'estimate', 'restricted', 'score', 'range']","characteristics, internal, consistency, estimate, restricted, score, range",characteristics internal consistency estimate restricted score range,characteristics; internal; consistency; estimate; restricted; score; range
Millman J.; Glass G.V.,RULES OF THUMB FOR WRITING THE ANOVA TABLE,1967,4,"['rule', 'THUMB', 'write', 'ANOVA', 'TABLE']","['rule', 'thumb', 'write', 'anova', 'table']","rule, thumb, write, anova, table",rule thumb write anova table,rule; thumb; write; anova; table
Grobman H.,THE PLACE OF EVALUATION IN THE BIOLOGICAL SCIENCES CURRICULUM STUDY,1966,3,"['PLACE', 'evaluation', 'BIOLOGICAL', 'SCIENCES', 'curriculum', 'study']","['place', 'evaluation', 'biological', 'sciences', 'curriculum', 'study']","place, evaluation, biological, sciences, curriculum, study",place evaluation biological sciences curriculum study,place; evaluation; biological; sciences; curriculum; study
Gelso C.J.; Klock J.A.,THE “ACADEMIC” VS. THE “TOTAL” HIGH SCHOOL AVERAGE: A RE‐EXAMINATION,1967,4,"['""', 'ACADEMIC', '""', 'VS', '""', 'total', '""', 'high', 'SCHOOL', 'AVERAGE', 'A', 're‐examination']","['""', 'academic', '""', 'vs', '""', 'total', '""', 'high', 'school', 'average', 'a', 're‐examination']",""", academic, "", vs, "", total, "", high, school, average, a, re‐examination",""" academic "" vs "" total "" high school average a re‐examination","""; academic; ""; vs; ""; total; ""; high; school; average; a; re‐examination"
Bauernfeind R.H.,"TEACHER PREFERENCES FOR TYPES OF STANDARDIZED TESTS: STUDIES IN THREE ILLINOIS SCHOOL DISTRICTS, 1964–1965",1967,4,"['teacher', 'preference', 'type', 'standardized', 'test', 'study', 'ILLINOIS', 'SCHOOL', 'district', '1964–1965']","['teacher', 'preference', 'type', 'standardized', 'test', 'study', 'illinois', 'school', 'district', '1964–1965']","teacher, preference, type, standardized, test, study, illinois, school, district, 1964–1965",teacher preference type standardized test study illinois school district 1964–1965,teacher; preference; type; standardized; test; study; illinois; school; district; 1964–1965
Hanna G.S.,THE USE OF STUDENTS' PREDICTIONS OF SUCCESS IN GEOMETRY AND YEAR OF HIGH SCHOOL TO AUGMENT PREDICTIONS MADE FROM TEST SCORES AND PAST GRADES,1967,4,"['student', 'prediction', 'success', 'GEOMETRY', 'YEAR', 'high', 'SCHOOL', 'AUGMENT', 'prediction', 'test', 'SCORES', 'PAST', 'GRADES']","['student', 'prediction', 'success', 'geometry', 'year', 'high', 'school', 'augment', 'prediction', 'test', 'scores', 'past', 'grades']","student, prediction, success, geometry, year, high, school, augment, prediction, test, scores, past, grades",student prediction success geometry year high school augment prediction test scores past grades,student; prediction; success; geometry; year; high; school; augment; prediction; test; scores; past; grades
Justman J.,ACADEMIC APTITUDE AND READING TEST SCORES OF DISADVANTAGED CHILDREN SHOWING VARYING DEGREES OF MOBILITY,1965,2,"['ACADEMIC', 'APTITUDE', 'read', 'test', 'SCORES', 'disadvantaged', 'child', 'VARYING', 'DEGREES', 'MOBILITY']","['academic', 'aptitude', 'read', 'test', 'scores', 'disadvantaged', 'child', 'varying', 'degrees', 'mobility']","academic, aptitude, read, test, scores, disadvantaged, child, varying, degrees, mobility",academic aptitude read test scores disadvantaged child varying degrees mobility,academic; aptitude; read; test; scores; disadvantaged; child; varying; degrees; mobility
Lange A.; Lehmann I.J.; Mehrens W.A.,USING ITEM ANALYSIS TO IMPROVE TESTS,1967,4,"['ITEM', 'analysis', 'improve', 'test']","['item', 'analysis', 'improve', 'test']","item, analysis, improve, test",item analysis improve test,item; analysis; improve; test
Furst E.J.,TASKS OF EVALUATION IN AN EXPERIMENTAL ECONOMICS COURSE,1966,3,"['tasks', 'evaluation', 'EXPERIMENTAL', 'ECONOMICS', 'COURSE']","['tasks', 'evaluation', 'experimental', 'economics', 'course']","tasks, evaluation, experimental, economics, course",tasks evaluation experimental economics course,tasks; evaluation; experimental; economics; course
Williamson M.L.; Hopkins K.D.,THE USE OF “NONE‐OF‐THESE” VERSUS HOMOGENEOUS ALTERNATIVES ON MULTIPLE‐CHOICE TESTS: EXPERIMENTAL RELIABILITY AND VALIDITY COMPARISONS,1967,4,"['""', 'none‐of‐these', '""', 'versus', 'homogeneous', 'alternatives', 'ON', 'multiple‐choice', 'test', 'experimental', 'RELIABILITY', 'VALIDITY', 'comparison']","['""', 'none‐of‐these', '""', 'versus', 'homogeneous', 'alternatives', 'on', 'multiple‐choice', 'test', 'experimental', 'reliability', 'validity', 'comparison']",""", none‐of‐these, "", versus, homogeneous, alternatives, on, multiple‐choice, test, experimental, reliability, validity, comparison",""" none‐of‐these "" versus homogeneous alternatives on multiple‐choice test experimental reliability validity comparison","""; none‐of‐these; ""; versus; homogeneous; alternatives; on; multiple‐choice; test; experimental; reliability; validity; comparison"
Irwin D.O.,RELIABILITY OF THE WECHSLER INTELLIGENCE SCALE FOR CHILDREN,1966,3,"['reliability', 'wechsler', 'intelligence', 'scale', 'CHILDREN']","['reliability', 'wechsler', 'intelligence', 'scale', 'children']","reliability, wechsler, intelligence, scale, children",reliability wechsler intelligence scale children,reliability; wechsler; intelligence; scale; children
Bormuth J.R.,OPTIMUM SAMPLE SIZE AND CLOZE TEST LENGTH IN READABILITY MEASUREMENT,1965,2,"['optimum', 'sample', 'SIZE', 'CLOZE', 'test', 'LENGTH', 'READABILITY']","['optimum', 'sample', 'size', 'cloze', 'test', 'length', 'readability']","optimum, sample, size, cloze, test, length, readability",optimum sample size cloze test length readability,optimum; sample; size; cloze; test; length; readability
Saupe J.L.,SELECTING ITEMS TO MEASURE CHANGE,1966,3,"['SELECTING', 'items', 'measure', 'change']","['selecting', 'items', 'measure', 'change']","selecting, items, measure, change",selecting items measure change,selecting; items; measure; change
Cook D.L.; Stufflebeam D.L.,ESTIMATING TEST NORMS FROM VARIABLE SIZE ITEM AND EXAMINEE SAMPLES,1967,4,"['estimate', 'test', 'norms', 'variable', 'SIZE', 'ITEM', 'EXAMINEE', 'samples']","['estimate', 'test', 'norms', 'variable', 'size', 'item', 'examinee', 'samples']","estimate, test, norms, variable, size, item, examinee, samples",estimate test norms variable size item examinee samples,estimate; test; norms; variable; size; item; examinee; samples
Adams J.F.,THE RELIABILITY AND ACCURACY OF COMMERCIAL MACHINE SCORING OF THE STRONG VOCATIONAL INTEREST BLANK,1965,2,"['RELIABILITY', 'ACCURACY', 'commercial', 'machine', 'scoring', 'STRONG', 'VOCATIONAL', 'interest', 'BLANK']","['reliability', 'accuracy', 'commercial', 'machine', 'scoring', 'strong', 'vocational', 'interest', 'blank']","reliability, accuracy, commercial, machine, scoring, strong, vocational, interest, blank",reliability accuracy commercial machine scoring strong vocational interest blank,reliability; accuracy; commercial; machine; scoring; strong; vocational; interest; blank
Madaus G.F.,DIVERGENT THINKING AND INTELLIGENCE: ANOTHER LOOK AT A CONTROVERSIAL QUESTION,1967,4,"['divergent', 'thinking', 'intelligence', 'look', 'CONTROVERSIAL', 'question']","['divergent', 'thinking', 'intelligence', 'look', 'controversial', 'question']","divergent, thinking, intelligence, look, controversial, question",divergent thinking intelligence look controversial question,divergent; thinking; intelligence; look; controversial; question
Stordahl K.E.,PREDICTING GRADES IN A MASTER'S‐DEGREE PROGRAM,1967,4,"['predict', 'GRADES', 'MASTERS‐DEGREE', 'program']","['predict', 'grades', 'masters‐degree', 'program']","predict, grades, masters‐degree, program",predict grades masters‐degree program,predict; grades; masters‐degree; program
Miller D.M.; Lutz M.V.,ITEM DESIGN FOR AN INVENTORY OF TEACHING PRACTICES AND LEARNING SITUATIONS,1966,3,"['ITEM', 'DESIGN', 'inventory', 'teaching', 'PRACTICES', 'learn', 'situation']","['item', 'design', 'inventory', 'teaching', 'practices', 'learn', 'situation']","item, design, inventory, teaching, practices, learn, situation",item design inventory teaching practices learn situation,item; design; inventory; teaching; practices; learn; situation
Tully G.E.; Hall B.W.,NOTE: TEST‐RETEST RELIABILITY OF THE SCHOOL AND COLLEGE ABILITY TEST,1965,2,"['note', 'test‐retest', 'RELIABILITY', 'SCHOOL', 'COLLEGE', 'ABILITY', 'test']","['note', 'test‐retest', 'reliability', 'school', 'college', 'ability', 'test']","note, test‐retest, reliability, school, college, ability, test",note test‐retest reliability school college ability test,note; test‐retest; reliability; school; college; ability; test
Sax G.; Cromack T.R.,THE EFFECTS OF VARIOUS FORMS OF ITEM ARRANGEMENTS ON TEST PERORMANCE,1966,3,"['effect', 'FORMS', 'ITEM', 'arrangement', 'test', 'PERORMANCE']","['effect', 'forms', 'item', 'arrangement', 'test', 'perormance']","effect, forms, item, arrangement, test, perormance",effect forms item arrangement test perormance,effect; forms; item; arrangement; test; perormance
Merwin J.C.,THE PROGRESS OF EXPLORATION TOWARD A NATIONAL ASSESSMENT OF EDUCATIONAL PROGRESS,1966,3,"['progress', 'exploration', 'NATIONAL', 'assessment', 'educational', 'progress']","['progress', 'exploration', 'national', 'assessment', 'educational', 'progress']","progress, exploration, national, assessment, educational, progress",progress exploration national assessment educational progress,progress; exploration; national; assessment; educational; progress
Tyler R.W.,THE OBJECTIVES AND PLANS FOR A NATIONAL ASSESSMENT OF EDUCATIONAL PROGRESS,1966,3,"['OBJECTIVES', 'plan', 'NATIONAL', 'assessment', 'educational', 'progress']","['objectives', 'plan', 'national', 'assessment', 'educational', 'progress']","objectives, plan, national, assessment, educational, progress",objectives plan national assessment educational progress,objectives; plan; national; assessment; educational; progress
Horn J.L.,SOME CHARACTERISTICS OF CLASSROOM EXAMINATIONS,1966,3,"['CHARACTERISTICS', 'CLASSROOM', 'examination']","['characteristics', 'classroom', 'examination']","characteristics, classroom, examination",characteristics classroom examination,characteristics; classroom; examination
Goyer R.S.,A TEST TO MEASURE THE ABILITY TO ORGANIZE IDEAS,1967,4,"['test', 'measure', 'ability', 'organize', 'idea']","['test', 'measure', 'ability', 'organize', 'idea']","test, measure, ability, organize, idea",test measure ability organize idea,test; measure; ability; organize; idea
Lindholm B.W.,A LONGITUDINAL STUDY OF DEVIATION IQs AND GRADES IN SCHOOL,1965,2,"['LONGITUDINAL', 'study', 'deviation', 'iq', 'GRADES', 'SCHOOL']","['longitudinal', 'study', 'deviation', 'iq', 'grades', 'school']","longitudinal, study, deviation, iq, grades, school",longitudinal study deviation iq grades school,longitudinal; study; deviation; iq; grades; school
Munday L.,PREDICTING COLLEGE GRADES IN PREDOMINANTLY NEGRO COLLEGES,1965,2,"['predict', 'COLLEGE', 'GRADES', 'PREDOMINANTLY', 'NEGRO', 'COLLEGES']","['predict', 'college', 'grades', 'predominantly', 'negro', 'colleges']","predict, college, grades, predominantly, negro, colleges",predict college grades predominantly negro colleges,predict; college; grades; predominantly; negro; colleges
Milholland J.E.; Womer F.B.,THE RELATION OF NINTH AND TENTH GRADE DIFFERENTIAL APTITUDE TEST SCORES TO CHOICES OF ACADEMIC MAJORS AT THE UNIVERSITY OF MICHIGAN,1965,2,"['RELATION', 'NINTH', 'TENTH', 'GRADE', 'DIFFERENTIAL', 'APTITUDE', 'test', 'SCORES', 'CHOICES', 'academic', 'MAJORS', 'UNIVERSITY', 'MICHIGAN']","['relation', 'ninth', 'tenth', 'grade', 'differential', 'aptitude', 'test', 'scores', 'choices', 'academic', 'majors', 'university', 'michigan']","relation, ninth, tenth, grade, differential, aptitude, test, scores, choices, academic, majors, university, michigan",relation ninth tenth grade differential aptitude test scores choices academic majors university michigan,relation; ninth; tenth; grade; differential; aptitude; test; scores; choices; academic; majors; university; michigan
Hills J.R.; Bush M.L.; Klock J.A.,KEEPING COLLEGE PREDICTION EQUATIONS CURRENT,1966,3,"['COLLEGE', 'PREDICTION', 'equation', 'CURRENT']","['college', 'prediction', 'equation', 'current']","college, prediction, equation, current",college prediction equation current,college; prediction; equation; current
"Goolsby T.M., Jr",DIFFERENTIATING BETWEEN MEASURES OF DIFFERENT OUTCOMES IN THE SOCIAL STUDIES,1966,3,"['differentiating', 'MEASURES', 'different', 'OUTCOMES', 'SOCIAL', 'study']","['differentiating', 'measures', 'different', 'outcomes', 'social', 'study']","differentiating, measures, different, outcomes, social, study",differentiating measures different outcomes social study,differentiating; measures; different; outcomes; social; study
Creager J.A.,THE USE OF PUBLICATION CITATIONS IN EDUCATIONAL RESEARCH,1966,3,"['publication', 'citation', 'EDUCATIONAL', 'RESEARCH']","['publication', 'citation', 'educational', 'research']","publication, citation, educational, research",publication citation educational research,publication; citation; educational; research
Cureton E.E.,SIMPLIFIED FORMULAS FOR ITEM ANALYSIS,1966,3,"['SIMPLIFIED', 'FORMULAS', 'ITEM', 'ANALYSIS']","['simplified', 'formulas', 'item', 'analysis']","simplified, formulas, item, analysis",simplified formulas item analysis,simplified; formulas; item; analysis
Klein S.; Skager R.; Erlebacher W.,MEASURING ARTISTIC CREATIVITY AND FLEXIBILITY,1966,3,"['measure', 'artistic', 'CREATIVITY', 'FLEXIBILITY']","['measure', 'artistic', 'creativity', 'flexibility']","measure, artistic, creativity, flexibility",measure artistic creativity flexibility,measure; artistic; creativity; flexibility
Lehmann I.J.,THE COLLEGE FACULTY AS PERCEIVED BY GRADUATES AND NON‐GRADUATES,1966,3,"['COLLEGE', 'FACULTY', 'PERCEIVED', 'BY', 'graduate', 'non‐graduates']","['college', 'faculty', 'perceived', 'by', 'graduate', 'non‐graduates']","college, faculty, perceived, by, graduate, non‐graduates",college faculty perceived by graduate non‐graduates,college; faculty; perceived; by; graduate; non‐graduates
Gerlach V.S.,PREPARING TRANSPARENT KEYS FOR INSPECTING ANSWER SHEETS,1966,3,"['prepare', 'transparent', 'keys', 'inspect', 'ANSWER', 'sheets']","['prepare', 'transparent', 'keys', 'inspect', 'answer', 'sheets']","prepare, transparent, keys, inspect, answer, sheets",prepare transparent keys inspect answer sheets,prepare; transparent; keys; inspect; answer; sheets
Greene F.P.,MODIFICATION OF THE CLOZE PROCEDURE AND CHANGES IN READING TEST PERFORMANCES,1965,2,"['modification', 'CLOZE', 'procedure', 'change', 'read', 'test', 'performance']","['modification', 'cloze', 'procedure', 'change', 'read', 'test', 'performance']","modification, cloze, procedure, change, read, test, performance",modification cloze procedure change read test performance,modification; cloze; procedure; change; read; test; performance
Abe C.,A FACTOR ANALYTIC STUDY OF SOME NON‐INTELLECTUAL INDICES OF ACADEMIC ACHIEVEMENT,1966,3,"['factor', 'analytic', 'study', 'non‐intellectual', 'index', 'ACADEMIC', 'achievement']","['factor', 'analytic', 'study', 'non‐intellectual', 'index', 'academic', 'achievement']","factor, analytic, study, non‐intellectual, index, academic, achievement",factor analytic study non‐intellectual index academic achievement,factor; analytic; study; non‐intellectual; index; academic; achievement
Dizney H.F.; Beggs D.L.,A COMPARISON OF GRADE EQUIVALENT SCORES BETWEEN GRADE LEVELS ON TWO SUBTESTS OF THE IOWA TESTS OF BASIC SKILLS,1965,2,"['comparison', 'GRADE', 'EQUIVALENT', 'scores', 'GRADE', 'LEVELS', 'SUBTESTS', 'iowa', 'test', 'basic', 'skill']","['comparison', 'grade', 'equivalent', 'scores', 'grade', 'levels', 'subtests', 'iowa', 'test', 'basic', 'skill']","comparison, grade, equivalent, scores, grade, levels, subtests, iowa, test, basic, skill",comparison grade equivalent scores grade levels subtests iowa test basic skill,comparison; grade; equivalent; scores; grade; levels; subtests; iowa; test; basic; skill
Morse P.K.,REPORTING TEST RESULTS: PERCENTILE BANDS VS. PERCENTILE RANKS,1964,1,"['report', 'test', 'RESULTS', 'PERCENTILE', 'band', 'VS', 'PERCENTILE', 'rank']","['report', 'test', 'results', 'percentile', 'band', 'vs', 'percentile', 'rank']","report, test, results, percentile, band, vs, percentile, rank",report test results percentile band vs percentile rank,report; test; results; percentile; band; vs; percentile; rank
Hills J.R.,THE EFFECT OF ADMISSIONS POLICY ON COLLEGE GRADING STANDARDS,1964,1,"['effect', 'ADMISSIONS', 'POLICY', 'ON', 'COLLEGE', 'GRADING', 'STANDARDS']","['effect', 'admissions', 'policy', 'on', 'college', 'grading', 'standards']","effect, admissions, policy, on, college, grading, standards",effect admissions policy on college grading standards,effect; admissions; policy; on; college; grading; standards
Goodwin W.L.,ADJUSTMENT FOR SEX AND VARIABILITY DIFFERENCES ON THE ALLPORT‐VERNON‐LINDZEY STUDY OF VALUES PROFILES,1964,1,"['adjustment', 'sex', 'VARIABILITY', 'difference', 'allport‐vernon‐lindzey', 'study', 'values', 'profiles']","['adjustment', 'sex', 'variability', 'difference', 'allport‐vernon‐lindzey', 'study', 'values', 'profiles']","adjustment, sex, variability, difference, allport‐vernon‐lindzey, study, values, profiles",adjustment sex variability difference allport‐vernon‐lindzey study values profiles,adjustment; sex; variability; difference; allport‐vernon‐lindzey; study; values; profiles
