Authors,Title,Year,Volume,T_tokens_,T_tokens,T_tokens_join
POWERS S.; SLAUGHTER H.; HELMICK C.,A TEST OF THE EQUIPERCENTILE HYPOTHESIS OF THE TIERS NORM‐REFERENCED MODEL,1983,20,"['test', 'EQUIPERCENTILE', 'HYPOTHESIS', 'tier', 'NORM‐REFERENCED', 'MODEL']","['test', 'equipercentile', 'hypothesis', 'tier', 'norm‐referenced', 'model']",test equipercentile hypothesis tier norm‐referenced model
"JONES L.V.; DAVENPORT E.C., JR.; BRYSON A.; BEKHUIS T.; ZWlCK R.",MATHEMATICS AND SCIENCE TEST SCORES AS RELATED TO COURSES TAKEN IN HIGH SCHOOL AND OTHER FACTORS,1986,23,"['MATHEMATICS', 'SCIENCE', 'test', 'SCORES', 'relate', 'COURSES', 'TAKEN', 'high', 'SCHOOL', 'factor']","['mathematics', 'science', 'test', 'scores', 'relate', 'courses', 'taken', 'high', 'school', 'factor']",mathematics science test scores relate courses taken high school factor
HAMBLETON R.K.; MILLS C.N.; SIMON R.,DETERMINING THE LENGTHS FOR CRITERION‐REFERENCED TESTS,1983,20,"['determine', 'LENGTHS', 'criterion‐referenced', 'test']","['determine', 'lengths', 'criterion‐referenced', 'test']",determine lengths criterion‐referenced test
HUGHES D.C.; KEELING B.; TUCK B.F.,EFFECTS OF ACHIEVEMENT EXPECTATIONS AND HANDWRITING QUALITY ON SCORING ESSAYS,1983,20,"['effect', 'ACHIEVEMENT', 'expectation', 'handwriting', 'QUALITY', 'ON', 'scoring', 'essay']","['effect', 'achievement', 'expectation', 'handwriting', 'quality', 'on', 'scoring', 'essay']",effect achievement expectation handwriting quality on scoring essay
FRISBIE D.A.; DRUVA C.A.,ESTIMATING THE RELIABILITY OF MULTIPLE TRUE‐FALSE TESTS,1986,23,"['estimate', 'RELIABILITY', 'MULTIPLE', 'true‐false', 'test']","['estimate', 'reliability', 'multiple', 'true‐false', 'test']",estimate reliability multiple true‐false test
CHASE C.I.,ESSAY TEST SCORES AND READING DIFFICULTY,1983,20,"['essay', 'test', 'SCORES', 'read', 'DIFFICULTY']","['essay', 'test', 'scores', 'read', 'difficulty']",essay test scores read difficulty
HAERTEL E.; CALFEE R.,SCHOOL ACHIEVEMENT: THINKING ABOUT WHAT TO TEST,1983,20,"['school', 'achievement', 'think', 'test']","['school', 'achievement', 'think', 'test']",school achievement think test
VALENCIA R.R.; RANKIN R.J.,FACTOR ANALYSIS OF THE K–ABC FOR GROUPS OF ANGLO AND MEXICAN AMERICAN CHILDREN,1986,23,"['factor', 'analysis', 'K', '–', 'ABC', 'GROUPS', 'ANGLO', 'MEXICAN', 'AMERICAN', 'CHILDREN']","['factor', 'analysis', 'k', '–', 'abc', 'groups', 'anglo', 'mexican', 'american', 'children']",factor analysis k – abc groups anglo mexican american children
LINN R.L.; HASTINGS C.N.,A META ANALYSIS OF THE VALIDITY OF PREDICTORS OF PERFORMANCE IN LAW SCHOOL,1984,21,"['meta', 'analysis', 'VALIDITY', 'predictors', 'performance', 'LAW', 'school']","['meta', 'analysis', 'validity', 'predictors', 'performance', 'law', 'school']",meta analysis validity predictors performance law school
HUGHES D.C.; KEELING B.,THE USE OF MODEL ESSAYS TO REDUCE CONTEXT EFFECTS IN ESSAY SCORING,1984,21,"['ESSAYS', 'reduce', 'context', 'effect', 'essay', 'scoring']","['essays', 'reduce', 'context', 'effect', 'essay', 'scoring']",essays reduce context effect essay scoring
"McCAULEY D.E., JR.; COLBERG M.",TRANSPORTABILITY OF DEDUCTIVE MEASUREMENT ACROSS CULTURES,1983,20,"['TRANSPORTABILITY', 'deductive', 'CULTURES']","['transportability', 'deductive', 'cultures']",transportability deductive cultures
SHEPARD L.A.; CAMILLI G.; WILLIAMS D.M.,VALIDITY OF APPROXIMATION TECHNIQUES FOR DETECTING ITEM BIAS,1985,22,"['VALIDITY', 'approximation', 'technique', 'detect', 'ITEM', 'BIAS']","['validity', 'approximation', 'technique', 'detect', 'item', 'bias']",validity approximation technique detect item bias
POWERS D.E.,EFFECTS OF COACHING ON GRE APTITUDE TEST SCORES,1985,22,"['effect', 'coaching', 'ON', 'GRE', 'APTITUDE', 'TEST', 'SCORES']","['effect', 'coaching', 'on', 'gre', 'aptitude', 'test', 'scores']",effect coaching on gre aptitude test scores
BAKER F.B.,TECHNOLOGY AND TESTING: STATE OF THE ART AND TRENDS FOR THE FUTURE,1984,21,"['technology', 'TESTING', 'STATE', 'ART', 'trend', 'future']","['technology', 'testing', 'state', 'art', 'trend', 'future']",technology testing state art trend future
JACKSON D.N.; HOLDEN R.R.; LOCKLIN R.H.; MARKS E.,TAXONOMY OF VOCATIONAL INTERESTS OF ACADEMIC MAJOR AREAS,1984,21,"['TAXONOMY', 'VOCATIONAL', 'INTERESTS', 'academic', 'MAJOR', 'area']","['taxonomy', 'vocational', 'interests', 'academic', 'major', 'area']",taxonomy vocational interests academic major area
VAN DE VIJVER F.J.R.; POORTINGA Y.H.,A COMMENT ON McCAULEY AND COLBERG'S CONCEPTION OF CROSS‐CULTURAL TRANSPORTABILITY OF TESTS,1985,22,"['comment', 'McCAULEY', 'COLBERGS', 'conception', 'CROSS‐CULTURAL', 'TRANSPORTABILITY', 'test']","['comment', 'mccauley', 'colbergs', 'conception', 'cross‐cultural', 'transportability', 'test']",comment mccauley colbergs conception cross‐cultural transportability test
GAMACHE L.M.; NOVICK M.R.,CHOICE OF VARIABLES AND GENDER DIFFERENTIATED PREDICTION WITHIN SELECTED ACADEMIC PROGRAMS,1985,22,"['choice', 'VARIABLES', 'GENDER', 'DIFFERENTIATED', 'PREDICTION', 'SELECTED', 'ACADEMIC', 'PROGRAMS']","['choice', 'variables', 'gender', 'differentiated', 'prediction', 'selected', 'academic', 'programs']",choice variables gender differentiated prediction selected academic programs
McARTHUR D.L.; CHOPPIN B.H.,COMPUTERIZED DIAGNOSTIC TESTING,1984,21,"['COMPUTERIZED', 'DIAGNOSTIC', 'testing']","['computerized', 'diagnostic', 'testing']",computerized diagnostic testing
SEDDON G.M.,THE MEASUREMENT AND PROPERTIES OF DIVERGENT THINKING ABILITY AS A SINGLE COMPOUND ENTITY,1983,20,"['property', 'divergent', 'thinking', 'ability', 'single', 'compound', 'entity']","['property', 'divergent', 'thinking', 'ability', 'single', 'compound', 'entity']",property divergent thinking ability single compound entity
EBEL R.L.,PROPOSED SOLUTIONS TO TWO PROBLEMS OF TEST CONSTRUCTION,1982,19,"['propose', 'solution', 'problems', 'test', 'construction']","['propose', 'solution', 'problems', 'test', 'construction']",propose solution problems test construction
PHILLIPS S.E.,THE EFFECTS OF THE DELETION OF MISFITTING PERSONS ON VERTICAL EQUATING VIA THE RASCH MODEL,1986,23,"['effect', 'deletion', 'misfitting', 'PERSONS', 'VERTICAL', 'EQUATING', 'RASCH', 'MODEL']","['effect', 'deletion', 'misfitting', 'persons', 'vertical', 'equating', 'rasch', 'model']",effect deletion misfitting persons vertical equating rasch model
ANGOFF W.H.; SCHRADER W.B.,A STUDY OF HYPOTHESES BASIC TO THE USE OF RIGHTS AND FORMULA SCORES,1984,21,"['study', 'hypothesis', 'BASIC', 'right', 'formula', 'SCORES']","['study', 'hypothesis', 'basic', 'right', 'formula', 'scores']",study hypothesis basic right formula scores
MILLER M.D.,TIME ALLOCATION AND PATTERNS OF ITEM RESPONSE,1986,23,"['TIME', 'allocation', 'PATTERNS', 'ITEM', 'RESPONSE']","['time', 'allocation', 'patterns', 'item', 'response']",time allocation patterns item response
BIRENBAUM M.; SHAW D.J.,TASK SPECIFICATION CHART: A KEY TO A BETTER UNDERSTANDING OF TEST RESULTS,1985,22,"['TASK', 'SPECIFICATION', 'CHART', 'key', 'better', 'understanding', 'test', 'result']","['task', 'specification', 'chart', 'key', 'better', 'understanding', 'test', 'result']",task specification chart key better understanding test result
ROGOSA D.R.; WILLETT J.B.,DEMONSTRATING THE RELIABILITY THE DIFFERENCE SCORE IN THE MEASUREMENT OF CHANGE,1983,20,"['demonstrate', 'RELIABILITY', 'difference', 'score', 'change']","['demonstrate', 'reliability', 'difference', 'score', 'change']",demonstrate reliability difference score change
BENSON J.; HOCEVAR D.,THE IMPACT OF ITEM PHRASING ON THE VALIDITY OF ATTITUDE SCALES FOR ELEMENTARY SCHOOL CHILDREN,1985,22,"['impact', 'ITEM', 'phrasing', 'VALIDITY', 'ATTITUDE', 'SCALES', 'ELEMENTARY', 'SCHOOL', 'CHILDREN']","['impact', 'item', 'phrasing', 'validity', 'attitude', 'scales', 'elementary', 'school', 'children']",impact item phrasing validity attitude scales elementary school children
JOHNSON S.; BELL J.F.,EVALUATING AND PREDICTING SURVEY EFFICIENCY USING GENERALIZABILITY THEORY,1985,22,"['EVALUATING', 'predict', 'survey', 'efficiency', 'GENERALIZABILITY', 'THEORY']","['evaluating', 'predict', 'survey', 'efficiency', 'generalizability', 'theory']",evaluating predict survey efficiency generalizability theory
BIRENBAUM M.; TATSUOKA K.K.,THE EFFECT OF A SCORING SYSTEM BASED ON THE ALGORITHM UNDERLYING THE STUDENTS’RESPONSE PATTERNS ON THE DIMENSIONALITY OF ACHIEVEMENT TEST DATA OF THE PROBLEM SOLVING TYPE,1983,20,"['effect', 'scoring', 'SYSTEM', 'based', 'ALGORITHM', 'underlie', 'students’response', 'PATTERNS', 'DIMENSIONALITY', 'ACHIEVEMENT', 'test', 'datum', 'problem', 'solving', 'TYPE']","['effect', 'scoring', 'system', 'based', 'algorithm', 'underlie', 'students’response', 'patterns', 'dimensionality', 'achievement', 'test', 'datum', 'problem', 'solving', 'type']",effect scoring system based algorithm underlie students’response patterns dimensionality achievement test datum problem solving type
VAN DER LINDEN W.J.,A LATENT TRAIT METHOD FOR DETERMINING INTRAJUDGE INCONSISTENCY IN THE ANGOFF AND NEDELSKY TECHNIQUES OF STANDARD SETTING,1982,19,"['LATENT', 'TRAIT', 'METHOD', 'determine', 'INTRAJUDGE', 'INCONSISTENCY', 'angoff', 'nedelsky', 'techniques', 'standard', 'setting']","['latent', 'trait', 'method', 'determine', 'intrajudge', 'inconsistency', 'angoff', 'nedelsky', 'techniques', 'standard', 'setting']",latent trait method determine intrajudge inconsistency angoff nedelsky techniques standard setting
HUYNH H.; SAUNDERS J.C.,ACCURACY OF TWO PROCEDURES FOR ESTIMATING RELIABILITY OF MASTERY TESTS,1980,17,"['ACCURACY', 'PROCEDURES', 'estimate', 'RELIABILITY', 'MASTERY', 'test']","['accuracy', 'procedures', 'estimate', 'reliability', 'mastery', 'test']",accuracy procedures estimate reliability mastery test
WILD C.L.; DURSO R.; RUBIN D.B.,"EFFECT OF INCREASED TEST‐TAKING TIME ON TEST SCORES BY ETHNIC GROUP, YEARS OUT OF SCHOOL, AND SEX",1982,19,"['effect', 'increased', 'test‐taking', 'TIME', 'ON', 'test', 'SCORES', 'BY', 'ETHNIC', 'GROUP', 'year', 'SCHOOL', 'SEX']","['effect', 'increased', 'test‐taking', 'time', 'on', 'test', 'scores', 'by', 'ethnic', 'group', 'year', 'school', 'sex']",effect increased test‐taking time on test scores by ethnic group year school sex
LEINHARDT G.; SEEWALD A.M.,STUDENT‐LEVEL OBSERVATION OF BEGINNING READING,1981,18,"['STUDENT‐LEVEL', 'OBSERVATION', 'beginning', 'read']","['student‐level', 'observation', 'beginning', 'read']",student‐level observation beginning read
BROWN C.,A NOTE ON THE DETERMINATION OF “ACCEPTABLE” PERFORMANCE IN THORNDIKE'S STANDARD OF FAIR SELECTION,1980,17,"['note', 'determination', '""', 'ACCEPTABLE', '""', 'performance', 'THORNDIKES', 'STANDARD', 'fair', 'selection']","['note', 'determination', '""', 'acceptable', '""', 'performance', 'thorndikes', 'standard', 'fair', 'selection']","note determination "" acceptable "" performance thorndikes standard fair selection"
DALY J.A.; DICKSON‐MARKMAN F.,CONTRAST EFFECTS IN EVALUATING ESSAYS,1982,19,"['contrast', 'effect', 'EVALUATING', 'essay']","['contrast', 'effect', 'evaluating', 'essay']",contrast effect evaluating essay
LINN R.L.; HARNISCH D.L.,INTERACTIONS BETWEEN ITEM CONTENT AND GROUP MEMBERSHIP ON ACHIEVEMENT TEST ITEMS,1981,18,"['interaction', 'ITEM', 'CONTENT', 'GROUP', 'MEMBERSHIP', 'ON', 'ACHIEVEMENT', 'test', 'ITEMS']","['interaction', 'item', 'content', 'group', 'membership', 'on', 'achievement', 'test', 'items']",interaction item content group membership on achievement test items
QUELLMALZ E.S.; CAPELL F.J.; CHOU C.‐P.,EFFECTS OF DISCOURSE AND RESPONSE MODE ON THE MEASUREMENT OF WRITING COMPETENCE,1982,19,"['effect', 'DISCOURSE', 'RESPONSE', 'MODE', 'writing', 'competence']","['effect', 'discourse', 'response', 'mode', 'writing', 'competence']",effect discourse response mode writing competence
HOLMES S.E.,UNIDIMENSIONALITY AND VERTICAL EQUATING WITH THE RASCH MODEL,1982,19,"['UNIDIMENSIONALITY', 'VERTICAL', 'EQUATING', 'RASCH', 'MODEL']","['unidimensionality', 'vertical', 'equating', 'rasch', 'model']",unidimensionality vertical equating rasch model
RUDNER L.M.; GETSON P.R.; KNIGHT D.L.,A MONTE CARLO COMPARISON OF SEVEN BIASED ITEM DETECTION TECHNIQUES,1980,17,"['MONTE', 'CARLO', 'comparison', 'seven', 'biased', 'ITEM', 'DETECTION', 'TECHNIQUES']","['monte', 'carlo', 'comparison', 'seven', 'biased', 'item', 'detection', 'techniques']",monte carlo comparison seven biased item detection techniques
BEJAR I.I.,A PROCEDURE FOR INVESTIGATING THE UNIDIMENSIONALITY OF ACHIEVEMENT TESTS BASED ON ITEM PARAMETER ESTIMATES,1980,17,"['procedure', 'investigate', 'UNIDIMENSIONALITY', 'achievement', 'test', 'based', 'ITEM', 'PARAMETER', 'estimate']","['procedure', 'investigate', 'unidimensionality', 'achievement', 'test', 'based', 'item', 'parameter', 'estimate']",procedure investigate unidimensionality achievement test based item parameter estimate
KOLEN M.J.; WHITNEY D.R.,COMPARISON OF FOUR PROCEDURES FOR EQUATING THE TESTS OF GENERAL EDUCATIONAL DEVELOPMENT,1982,19,"['comparison', 'procedures', 'equate', 'test', 'GENERAL', 'EDUCATIONAL', 'DEVELOPMENT']","['comparison', 'procedures', 'equate', 'test', 'general', 'educational', 'development']",comparison procedures equate test general educational development
BERGAN J.R.,MEASURING OBSERVER AGREEMENT USING THE QUASI‐INDEPENDENCE CONCEPT,1980,17,"['measure', 'OBSERVER', 'agreement', 'QUASI‐INDEPENDENCE', 'concept']","['measure', 'observer', 'agreement', 'quasi‐independence', 'concept']",measure observer agreement quasi‐independence concept
ANDERSON R.E.; WELCH W.W.; HARRIS L.J.,METHODOLOGICAL CONSIDERATIONS IN THE DEVELOPMENT OF INDICATORS OF ACHIEVEMENT IN DATA FROM THE NATIONAL ASSESSMENT,1982,19,"['METHODOLOGICAL', 'consideration', 'DEVELOPMENT', 'indicators', 'achievement', 'datum', 'NATIONAL', 'assessment']","['methodological', 'consideration', 'development', 'indicators', 'achievement', 'datum', 'national', 'assessment']",methodological consideration development indicators achievement datum national assessment
FORSYTH R.A.; SPRATT K.F.,MEASURING PROBLEM SOLVING ABILITY IN MATHEMATICS WITH MULTIPLE‐CHOICE ITEMS: THE EFFECT OF ITEM FORMAT ON SELECTED ITEM AND TEST CHARACTERISTICS,1980,17,"['measure', 'problem', 'solve', 'ability', 'MATHEMATICS', 'multiple‐choice', 'items', 'effect', 'ITEM', 'FORMAT', 'ON', 'SELECTED', 'ITEM', 'TEST', 'CHARACTERISTICS']","['measure', 'problem', 'solve', 'ability', 'mathematics', 'multiple‐choice', 'items', 'effect', 'item', 'format', 'on', 'selected', 'item', 'test', 'characteristics']",measure problem solve ability mathematics multiple‐choice items effect item format on selected item test characteristics
KEOGH B.K.; PULLIS M.E.; CADWELL J.,A SHORT FORM OF THE TEACHER TEMPERAMENT QUESTIONNAIRE,1982,19,"['short', 'form', 'teacher', 'TEMPERAMENT', 'questionnaire']","['short', 'form', 'teacher', 'temperament', 'questionnaire']",short form teacher temperament questionnaire
ZOREF L.; WILLIAMS P.,A LOOK AT CONTENT BIAS IN IQ TESTS,1980,17,"['LOOK', 'CONTENT', 'BIAS', 'iq', 'test']","['look', 'content', 'bias', 'iq', 'test']",look content bias iq test
BERK R.A.,A CONSUMERs' GUIDE TO CRITERION‐REFERENCED TEST RELIABILITY,1980,17,"['consumer', 'GUIDE', 'CRITERION‐REFERENCED', 'test', 'RELIABILITY']","['consumer', 'guide', 'criterion‐referenced', 'test', 'reliability']",consumer guide criterion‐referenced test reliability
BRIDGEMAN B.,GENERALITY OF A “FAST” OR “SLOW” TEST‐TAKING STYLE ACROSS A VARIETY OF COGNITIVE TASKS,1980,17,"['GENERALITY', '""', 'fast', '""', '""', 'SLOW', '""', 'test‐taking', 'STYLE', 'variety', 'cognitive', 'tasks']","['generality', '""', 'fast', '""', '""', 'slow', '""', 'test‐taking', 'style', 'variety', 'cognitive', 'tasks']","generality "" fast "" "" slow "" test‐taking style variety cognitive tasks"
KOLEN M.J.,COMPARISON OF TRADITIONAL AND ITEM RESPONSE THEORY METHODS FOR EQUATING TESTS,1981,18,"['comparison', 'TRADITIONAL', 'ITEM', 'RESPONSE', 'THEORY', 'METHODS', 'EQUATING', 'test']","['comparison', 'traditional', 'item', 'response', 'theory', 'methods', 'equating', 'test']",comparison traditional item response theory methods equating test
GANOPOLE S.J.,THE FUNDAMENTAL READING COMPETENCIES TEST,1980,17,"['FUNDAMENTAL', 'read', 'COMPETENCIES', 'test']","['fundamental', 'read', 'competencies', 'test']",fundamental read competencies test
WALLER M.I.,A PROCEDURE FOR COMPARING LOGISTIC LATENT TRAIT MODELS,1981,18,"['procedure', 'compare', 'LOGISTIC', 'LATENT', 'TRAIT']","['procedure', 'compare', 'logistic', 'latent', 'trait']",procedure compare logistic latent trait
WILCOX R.R.,SOME NEW RESULTS ON AN ANSWER‐UNTIL‐CORRECT SCORING PROCEDURE,1982,19,"['new', 'result', 'answer‐until‐correct', 'scoring', 'procedure']","['new', 'result', 'answer‐until‐correct', 'scoring', 'procedure']",new result answer‐until‐correct scoring procedure
GROSS A.L.; SHULMAN V.,THE APPLICABILITY OF THE BETA BINOMIAL MODEL FOR CRITERION REFERENCED TESTING,1980,17,"['applicability', 'BETA', 'BINOMIAL', 'criterion', 'referenced', 'testing']","['applicability', 'beta', 'binomial', 'criterion', 'referenced', 'testing']",applicability beta binomial criterion referenced testing
SEDDON G.M.; CHOKOTHO N.C.J.; MERRITT R.,THE IDENTIFICATION OF RADEX PROPERTIES IN OBJECTIVE TEST ITEMS,1981,18,"['identification', 'RADEX', 'PROPERTIES', 'objective', 'test', 'ITEMS']","['identification', 'radex', 'properties', 'objective', 'test', 'items']",identification radex properties objective test items
WARDROP J.L.; ANDERSON T.H.; HIVELY W.; HASTINGS C.N.; ANDERSON R.I.; MULLER K.E.,A FRAMEWORK FOR ANALYZING THE INFERENCE STRUCTURE OF EDUCATIONAL ACHIEVEMENT TESTS,1982,19,"['framework', 'analyze', 'INFERENCE', 'structure', 'EDUCATIONAL', 'achievement', 'test']","['framework', 'analyze', 'inference', 'structure', 'educational', 'achievement', 'test']",framework analyze inference structure educational achievement test
CUDECK R.,A COMPARATIVE STUDY OF INDICES FOR INTERNAL CONSISTENCY,1980,17,"['comparative', 'study', 'index', 'INTERNAL', 'consistency']","['comparative', 'study', 'index', 'internal', 'consistency']",comparative study index internal consistency
GAY L.R.,THE COMPARATIVE EFFECTS OF MULTIPLE‐CHOICE VERSUS SHORT‐ANSWER TESTS ON RETENTION,1980,17,"['comparative', 'effect', 'multiple‐choice', 'versus', 'short‐answer', 'test', 'retention']","['comparative', 'effect', 'multiple‐choice', 'versus', 'short‐answer', 'test', 'retention']",comparative effect multiple‐choice versus short‐answer test retention
REYNOLDS C.R.,AN EXAMINATION FOR BIAS IN A PRESCHOOL TEST BATTERY ACROSS RACE AND SEX,1980,17,"['examination', 'bias', 'PRESCHOOL', 'test', 'BATTERY', 'RACE', 'SEX']","['examination', 'bias', 'preschool', 'test', 'battery', 'race', 'sex']",examination bias preschool test battery race sex
WEBB N.M.; SHAVELSON R.J.,MULTIVARIATE GENERALIZABILITY OF GENERAL EDUCATIONAL DEVELOPMENT RATINGS,1981,18,"['multivariate', 'GENERALIZABILITY', 'GENERAL', 'EDUCATIONAL', 'DEVELOPMENT', 'RATINGS']","['multivariate', 'generalizability', 'general', 'educational', 'development', 'ratings']",multivariate generalizability general educational development ratings
KOFFLER S.L.,A COMPARISON OF APPROACHES FOR SETTING PROFICIENCY STANDARDS,1980,17,"['comparison', 'APPROACHES', 'set', 'PROFICIENCY', 'standard']","['comparison', 'approaches', 'set', 'proficiency', 'standard']",comparison approaches set proficiency standard
LOYD B.H.; HOOVER H.D.,VERTICAL EQUATING USING THE RASCH MODEL,1980,17,"['VERTICAL', 'EQUATING', 'RASCH', 'MODEL']","['vertical', 'equating', 'rasch', 'model']",vertical equating rasch model
YEN W.M.,"THE EXTENT, CAUSES AND IMPORTANCE OF CONTEXT EFFECTS ON ITEM PARAMETERS FOR TWO LATENT TRAIT MODELS",1980,17,"['extent', 'cause', 'importance', 'context', 'effect', 'ITEM', 'PARAMETERS', 'LATENT', 'trait']","['extent', 'cause', 'importance', 'context', 'effect', 'item', 'parameters', 'latent', 'trait']",extent cause importance context effect item parameters latent trait
BIRENBAUM M.; TATSUOKA K.K.,ON THE DIMENSIONALITY OF ACHIEVEMENT TEST DATA,1982,19,"['DIMENSIONALITY', 'ACHIEVEMENT', 'test', 'DATA']","['dimensionality', 'achievement', 'test', 'data']",dimensionality achievement test data
SKAKUN E.N.; KLING S.,COMPARABILITY OF METHODS FOR SETTING STANDARDS,1980,17,"['COMPARABILITY', 'methods', 'set', 'STANDARDS']","['comparability', 'methods', 'set', 'standards']",comparability methods set standards
HUGHES D.C.; KEELING B.; TUCK B.F.,THE INFLUENCE OF CONTEXT POSITION AND SCORING METHOD ON ESSAY SCORING,1980,17,"['influence', 'context', 'position', 'SCORING', 'METHOD', 'ON', 'ESSAY', 'scoring']","['influence', 'context', 'position', 'scoring', 'method', 'on', 'essay', 'scoring']",influence context position scoring method on essay scoring
HAMILTON L.C.,SEX DIFFERENCES IN SELF‐REPORT ERRORS: A NOTE OF CAUTION,1981,18,"['sex', 'difference', 'SELF‐REPORT', 'ERRORS', 'note', 'caution']","['sex', 'difference', 'self‐report', 'errors', 'note', 'caution']",sex difference self‐report errors note caution
TALLMADGE G.K.,AN EMPIRICAL ASSESSMENT OF NORM‐REFERENCED EVALUATION METHODOLOGY,1982,19,"['EMPIRICAL', 'assessment', 'NORM‐REFERENCED', 'EVALUATION', 'METHODOLOGY']","['empirical', 'assessment', 'norm‐referenced', 'evaluation', 'methodology']",empirical assessment norm‐referenced evaluation methodology
HALADYNA T.; ROID G.,THE ROLE OF INSTRUCTIONAL SENSITIVITY IN THE EMPIRICAL REVIEW OF CRITERION‐REFERENCED TEST ITEMS,1981,18,"['ROLE', 'INSTRUCTIONAL', 'SENSITIVITY', 'EMPIRICAL', 'REVIEW', 'CRITERION‐REFERENCED', 'test', 'ITEMS']","['role', 'instructional', 'sensitivity', 'empirical', 'review', 'criterion‐referenced', 'test', 'items']",role instructional sensitivity empirical review criterion‐referenced test items
WARD W.C.; FREDERIKSEN N.; CARLSON S.B.,CONSTRUCT VALIDITY OF FREE‐RESPONSE AND MACHINE‐SCORABLE FORMS OF A TEST,1980,17,"['CONSTRUCT', 'VALIDITY', 'FREE‐RESPONSE', 'MACHINE‐SCORABLE', 'FORMS', 'test']","['construct', 'validity', 'free‐response', 'machine‐scorable', 'forms', 'test']",construct validity free‐response machine‐scorable forms test
SIROTNIK K.A.,PSYCHOMETRIC IMPLICATIONS OF THE UNIT‐OF‐ANALYSIS PROBLEM (WITH EXAMPLES FROM THE MEASUREMENT OF ORGANIZATIONAL CLIMATE),1980,17,"['psychometric', 'implication', 'UNIT‐OF‐ANALYSIS', 'problem', 'examples', 'organizational', 'climate']","['psychometric', 'implication', 'unit‐of‐analysis', 'problem', 'examples', 'organizational', 'climate']",psychometric implication unit‐of‐analysis problem examples organizational climate
JAEGER R.M.,SOME EXPLORATORY INDICES FOR SELECTION OF A TEST EQUATING METHOD,1981,18,"['exploratory', 'index', 'selection', 'test', 'EQUATING', 'METHOD']","['exploratory', 'index', 'selection', 'test', 'equating', 'method']",exploratory index selection test equating method
SMITH J.K.,CONVERGING ON CORRECT ANSWERS: A PECULIARITY OF MULTIPLE CHOICE ITEMS,1982,19,"['converge', 'ON', 'correct', 'answer', 'peculiarity', 'multiple', 'choice', 'items']","['converge', 'on', 'correct', 'answer', 'peculiarity', 'multiple', 'choice', 'items']",converge on correct answer peculiarity multiple choice items
BAGLIN R.F.,DOES “NATIONALLY” NORMED REALLY MEAN NATIONALLY?,1981,18,"['""', 'NATIONALLY', '""', 'NORMED', 'REALLY', 'MEAN', 'NATIONALLY']","['""', 'nationally', '""', 'normed', 'really', 'mean', 'nationally']",""" nationally "" normed really mean nationally"
ASKEGAARD L.D.; UMILA B.V.,AN EMPIRICAL INVESTIGATON OF THE APPLICABILITY OF MULTIPLE MATRIX SAMPLING TO THE METHOD OF RANK ORDER,1982,19,"['EMPIRICAL', 'INVESTIGATON', 'APPLICABILITY', 'MULTIPLE', 'matrix', 'sampling', 'METHOD', 'rank', 'order']","['empirical', 'investigaton', 'applicability', 'multiple', 'matrix', 'sampling', 'method', 'rank', 'order']",empirical investigaton applicability multiple matrix sampling method rank order
WlNNE P.H.; BELFRY M.J.,INTERPRETIVE PROBLEMS WHEN CORRECTING FOR ATTENUATION,1982,19,"['interpretive', 'problems', 'correct', 'attenuation']","['interpretive', 'problems', 'correct', 'attenuation']",interpretive problems correct attenuation
BURTON N.W.,STABILITY OF THE NATIONAL ASSESSMENT SCORING METHODS,1980,17,"['STABILITY', 'NATIONAL', 'ASSESSMENT', 'SCORING', 'METHODS']","['stability', 'national', 'assessment', 'scoring', 'methods']",stability national assessment scoring methods
LEINHARDT G.; SEEWALD A.M.,"OVERLAP: WHAT'S TESTED, WHAT'S TAUGHT?",1981,18,"['OVERLAP', 'WHATS', 'test', 'WHATS', 'TAUGHT']","['overlap', 'whats', 'test', 'whats', 'taught']",overlap whats test whats taught
ROWLEY G.L.,HISTORICAL ANTECEDENTS OF THE STANDARD‐SETTING DEBATE: AN INSIDE ACCOUNT OF THE MINIMAL‐BEARDEDNESS CONTROVERSY,1982,19,"['HISTORICAL', 'antecedent', 'standard‐sette', 'DEBATE', 'INSIDE', 'account', 'minimal‐beardedness', 'CONTROVERSY']","['historical', 'antecedent', 'standard‐sette', 'debate', 'inside', 'account', 'minimal‐beardedness', 'controversy']",historical antecedent standard‐sette debate inside account minimal‐beardedness controversy
PENG C.J.; SUBKOVIAK M.J.,A NOTE ON HUYNH'S NORMAL APPROXIMATION PROCEDURE FOR ESTIMATING CRITERION‐REFERENCED RELIABILITY,1980,17,"['note', 'HUYNHS', 'NORMAL', 'approximation', 'procedure', 'estimate', 'criterion‐referenced', 'RELIABILITY']","['note', 'huynhs', 'normal', 'approximation', 'procedure', 'estimate', 'criterion‐referenced', 'reliability']",note huynhs normal approximation procedure estimate criterion‐referenced reliability
MOSS P.A.; COLE N.S.; KHAMPALIKIT C.,"A COMPARISON OF PROCEDURES TO ASSESS WRITTEN LANGUAGE SKILLS AT GRADES 4, 7, AND 10",1982,19,"['comparison', 'procedures', 'assess', 'WRITTEN', 'language', 'SKILLS', 'GRADES', '4', '7', '10']","['comparison', 'procedures', 'assess', 'written', 'language', 'skills', 'grades', '4', '7', '10']",comparison procedures assess written language skills grades 4 7 10
