Authors,Title,Year,Volume,Abstract,T_tokens_,T_tokens,T_tokens_join
Grochowalski J.H.; Hendrickson A.,Detecting Group Collaboration Using Multiple Correspondence Analysis,2023,60.0,"Test takers wishing to gain an unfair advantage often share answers with other test takers, either sharing all answers (a full key) or some (a partial key). Detecting key sharing during a tight testing window requires an efficient, easily interpretable, and rich form of analysis that is descriptive and inferential. We introduce a detection method based on multiple correspondence analysis (MCA) that identifies test takers with unusual response similarities. The method simultaneously detects multiple shared keys (partial or full), plots results, and is computationally efficient as it requires only matrix operations. We describe the method, evaluate its detection accuracy under various simulation conditions, and demonstrate the procedure on a real data set with known test-taking misbehavior. The simulation results showed that the MCA method had reasonably high power under realistic conditions and maintained the nominal false-positive level, except when the group size was very large or partial shared keys had more than 50% of the items. The real data analysis illustrated visual detection procedures and inference about the item responses possibly shared in the key, which was likely shared among 91 test takers, many of whom were confirmed by nonstatistical investigation to have engaged in test-taking misconduct. © 2023 by the National Council on Measurement in Education.","['Detecting', 'Group', 'Collaboration', 'multiple', 'Correspondence', 'Analysis']","['detecting', 'group', 'collaboration', 'multiple', 'correspondence', 'analysis']",detecting group collaboration multiple correspondence analysis
Ferrara S.; Qunbar S.,Validity Arguments for AI-Based Automated Scores: Essay Scoring as an Illustration,2022,59.0,"In this article, we argue that automated scoring engines should be transparent and construct relevant—that is, as much as is currently feasible. Many current automated scoring engines cannot achieve high degrees of scoring accuracy without allowing in some features that may not be easily explained and understood and may not be obviously and directly relevant to the target assessment construct. We address the current limitations on evidence and validity arguments for scores from automated scoring engines from the points of view of the Standards for Educational and Psychological Testing (i.e., construct relevance, construct representation, and fairness) and emerging principles in Artificial Intelligence (e.g., explainable AI, an examinee's right to explanations, and principled AI). We illustrate these concepts and arguments for automated essay scores. © 2022 by the National Council on Measurement in Education.","['validity', 'argument', 'AIBased', 'Automated', 'Scores', 'Essay', 'Scoring', 'illustration']","['validity', 'argument', 'aibased', 'automated', 'scores', 'essay', 'scoring', 'illustration']",validity argument aibased automated scores essay scoring illustration
Sinharay S.; Johnson M.S.,Computation and Accuracy Evaluation of Comparable Scores on Culturally Responsive Assessments,2024,61.0,"Culturally responsive assessments have been proposed as potential tools to ensure equity and fairness for examinees from all backgrounds including those from traditionally underserved or minoritized groups. However, these assessments are relatively new and, with few exceptions, are yet to be implemented in large scale. Consequently, there is a lack of guidance on how one can compute comparable scores on various versions of these assessments. In this paper, the multigroup multidimensional Rasch model is repurposed for modeling data originating from various versions of a culturally responsive assessment and for analyzing such data to compute comparable scores. Two simulation studies are performed to evaluate the performance of the model for data simulated from hypothetical culturally responsive assessments and to find the conditions under which the computed scores are accurate. Recommendations are made for measurement practitioners interested in culturally responsive assessments. © 2023 by the National Council on Measurement in Education.","['computation', 'Accuracy', 'Evaluation', 'Comparable', 'Scores', 'culturally', 'responsive', 'assessment']","['computation', 'accuracy', 'evaluation', 'comparable', 'scores', 'culturally', 'responsive', 'assessment']",computation accuracy evaluation comparable scores culturally responsive assessment
Guo J.; Xu X.; Xin T.,A Note on Latent Traits Estimates under IRT Models with Missingness,2023,60.0,"Missingness due to not-reached items and omitted items has received much attention in the recent psychometric literature. Such missingness, if not handled properly, would lead to biased parameter estimation, as well as inaccurate inference of examinees, and further erode the validity of the test. This paper reviews some commonly used IRT based models allowing missingness, followed by three popular examinee scoring methods, including maximum likelihood estimation, maximum a posteriori, and expected a posteriori. Simulation studies were conducted to compare these examinee scoring methods across these commonly used models in the presence of missingness. Results showed that all the methods could infer examinees' ability accurately when the missingness is ignorable. If the missingness is nonignorable, incorporating those missing responses would improve the precision in estimating abilities for examinees with missingness, especially when the test length is short. In terms of examinee scoring methods, expected a posteriori method performed better for evaluating latent traits under models allowing missingness. An empirical study based on the PISA 2015 Science Test was further performed. © 2023 by the National Council on Measurement in Education.","['note', 'Latent', 'Traits', 'Estimates', 'IRT', 'Models', 'missingness']","['note', 'latent', 'traits', 'estimates', 'irt', 'models', 'missingness']",note latent traits estimates irt models missingness
Johnson M.S.; Liu X.; McCaffrey D.F.,Psychometric Methods to Evaluate Measurement and Algorithmic Bias in Automated Scoring,2022,59.0,"With the increasing use of automated scores in operational testing settings comes the need to understand the ways in which they can yield biased and unfair results. In this paper, we provide a brief survey of some of the ways in which the predictive methods used in automated scoring can lead to biased, and thus unfair automated scores. After providing definitions of fairness from machine learning and a psychometric framework to study them, we demonstrate how modeling decisions, like omitting variables, using proxy measures or confounded variables, and even the optimization criterion in estimation can lead to biased and unfair automated scores. We then introduce two simple methods for evaluating bias, evaluate their statistical properties through simulation, and apply to an item from a large-scale reading assessment. © 2022 by the National Council on Measurement in Education.","['Psychometric', 'Methods', 'evaluate', 'Algorithmic', 'Bias', 'Automated', 'Scoring']","['psychometric', 'methods', 'evaluate', 'algorithmic', 'bias', 'automated', 'scoring']",psychometric methods evaluate algorithmic bias automated scoring
Qiao X.; Jiao H.,Explanatory Cognitive Diagnostic Modeling Incorporating Response Times,2021,58.0,"This study proposes explanatory cognitive diagnostic model (CDM) jointly incorporating responses and response times (RTs) with the inclusion of item covariates related to both item responses and RTs. The joint modeling of item responses and RTs intends to provide more information for cognitive diagnosis while item covariates can be used to predict item parameters when item calibration is not feasible in diagnostic assessments or item parameter estimation errors could be too large due to small sample sizes for calibration. In addition, the inclusion of the item covariates allows the evaluation of cognitive theories underlying the test design in item development. Model parameter estimation is explored using the Bayesian Markov chain Monte Carlo (MCMC) method. A Monte Carlo simulation study is conducted to examine the parameter recovery of the proposed model under different simulated conditions in comparison to alternative competing models. Further, the application of the proposed model is illustrated using the Programme for International Student Assessment (PISA) 2012 problem-solving items modeling both item response and RT data. The study results indicate that model parameters can be well recovered using the MCMC algorithm and the explanatory CDM jointly incorporating item responses and RTs with item covariates holds promising applications in digital-based diagnostic assessments. © 2022 by the National Council on Measurement in Education","['explanatory', 'Cognitive', 'Diagnostic', 'Modeling', 'incorporate', 'Response', 'Times']","['explanatory', 'cognitive', 'diagnostic', 'modeling', 'incorporate', 'response', 'times']",explanatory cognitive diagnostic modeling incorporate response times
Lim H.; Davey T.; Wells C.S.,A Recursion-Based Analytical Approach to Evaluate the Performance of MST,2021,58.0,"This study proposed a recursion-based analytical approach to assess measurement precision of ability estimation and classification accuracy in multistage adaptive tests (MSTs). A simulation study was conducted to compare the proposed recursion-based analytical method with an analytical method proposed by Park, Kim, Chung, and Dodd and with the more commonly used Monte Carlo (MC) simulation approaches. The results from the simulation study indicate that the recursion-based analytical method produced more stable measurement properties in MST than the MC-based simulation method. It also produced more credible measurement performance than the analytical approach of Park, Kim, Chung, and Dodd. We expect that the recursion-based analytical method would be especially efficient in instances when multiple MST designs need to be compared to determine which one has better measurement performance. © 2020 by the National Council on Measurement in Education","['RecursionBased', 'Analytical', 'Approach', 'evaluate', 'performance', 'MST']","['recursionbased', 'analytical', 'approach', 'evaluate', 'performance', 'mst']",recursionbased analytical approach evaluate performance mst
Gorney K.; Wollack J.A.,Using Item Scores and Distractors in Person-Fit Assessment,2023,60.0,"In order to detect a wide range of aberrant behaviors, it can be useful to incorporate information beyond the dichotomous item scores. In this paper, we extend the (Formula presented.) and (Formula presented.) person-fit statistics so that unusual behavior in item scores and unusual behavior in item distractors can be used as indicators of aberrance. Through detailed simulations, we show that the new statistics are more powerful than existing statistics in detecting several types of aberrant behavior, and that they are able to control the Type I error rate in instances where the model does not exactly fit the data. A real data example is also provided to demonstrate the utility of the new statistics in an operational setting. © 2022 The Authors. Journal of Educational Measurement published by Wiley Periodicals LLC on behalf of National Council on Measurement in Education.","['Item', 'Scores', 'Distractors', 'PersonFit', 'Assessment']","['item', 'scores', 'distractors', 'personfit', 'assessment']",item scores distractors personfit assessment
Yamaguchi K.; Zhang J.,Fully Gibbs Sampling Algorithms for Bayesian Variable Selection in Latent Regression Models,2023,60.0,"This study proposed Gibbs sampling algorithms for variable selection in a latent regression model under a unidimensional two-parameter logistic item response theory model. Three types of shrinkage priors were employed to obtain shrinkage estimates: double-exponential (i.e., Laplace), horseshoe, and horseshoe+ priors. These shrinkage priors were compared to a uniform prior case in both simulation and real data analysis. The simulation study revealed that two types of horseshoe priors had a smaller root mean square errors and shorter 95% credible interval lengths than double-exponential or uniform priors. In addition, the horseshoe+ prior was slightly more stable than the horseshoe prior. The real data example successfully proved the utility of horseshoe and horseshoe+ priors in selecting effective predictive covariates for math achievement. © 2022 by the National Council on Measurement in Education.","['fully', 'Gibbs', 'Sampling', 'Algorithms', 'Bayesian', 'Variable', 'Selection', 'Latent', 'Regression', 'Models']","['fully', 'gibbs', 'sampling', 'algorithms', 'bayesian', 'variable', 'selection', 'latent', 'regression', 'models']",fully gibbs sampling algorithms bayesian variable selection latent regression models
Tang X.; Zheng Y.; Wu T.; Hau K.-T.; Chang H.-H.,Utilizing Response Time for Item Selection in On-the-Fly Multistage Adaptive Testing for PISA Assessment,2024,,"Multistage adaptive testing (MST) has been recently adopted for international large-scale assessments such as Programme for International Student Assessment (PISA). MST offers improved measurement efficiency over traditional nonadaptive tests and improved practical convenience over single-item-adaptive computerized adaptive testing (CAT). As a third alternative adaptive test design to MST and CAT, Zheng and Chang proposed the “on-the-fly multistage adaptive testing” (OMST), which combines the benefits of MST and CAT and offsets their limitations. In this study, we adopted the OMST design while also incorporating response time (RT) in item selection. Via simulations emulating the PISA 2018 reading test, including using the real item attributes and replicating PISA 2018 reading test's MST design, we compared the performance of our OMST designs against the simulated MST design in (1) measurement accuracy of test takers’ ability, (2) test time efficiency and consistency, and (3) expected gains in precision by design. We also investigated the performance of OMST in item bank usage and constraints management. Results show great potential for the proposed RT-incorporated OMST designs to be used for PISA and potentially other international large-scale assessments. © 2024 by the National Council on Measurement in Education.","['utilize', 'Response', 'Time', 'Item', 'Selection', 'OntheFly', 'Multistage', 'Adaptive', 'Testing', 'PISA', 'Assessment']","['utilize', 'response', 'time', 'item', 'selection', 'onthefly', 'multistage', 'adaptive', 'testing', 'pisa', 'assessment']",utilize response time item selection onthefly multistage adaptive testing pisa assessment
Feng T.; Cai L.,Sensemaking of Process Data from Evaluation Studies of Educational Games: An Application of Cross-Classified Item Response Theory Modeling,2024,,"Process information collected from educational games can illuminate how students approach interactive tasks, complementing assessment outcomes routinely examined in evaluation studies. However, the two sources of information are historically analyzed and interpreted separately, and diagnostic process information is often underused. To tackle these issues, we present a new application of cross-classified item response theory modeling, using indicators of knowledge misconceptions and item-level assessment data collected from a multisite game-based randomized controlled trial. This application addresses (a) the joint modeling of students' pretest and posttest item responses and game-based processes described by indicators of misconceptions; (b) integration of gameplay information when gauging the intervention effect of an educational game; (c) relationships among game-based misconception, pretest initial status, and pre-to-post change; and (d) nesting of students within schools, a common aspect in multisite research. We also demonstrate how to structure the data and set up the model to enable our proposed application, and how our application compares to three other approaches to analyzing gameplay and assessment data. Lastly, we note the implications for future evaluation studies and for using analytic results to inform learning and instruction. © 2024 The Authors. Journal of Educational Measurement published by Wiley Periodicals LLC on behalf of National Council on Measurement in Education.","['sensemaking', 'Process', 'Data', 'Evaluation', 'Studies', 'Educational', 'Games', 'Application', 'CrossClassified', 'Item', 'Response', 'Theory', 'Modeling']","['sensemaking', 'process', 'data', 'evaluation', 'studies', 'educational', 'games', 'application', 'crossclassified', 'item', 'response', 'theory', 'modeling']",sensemaking process data evaluation studies educational games application crossclassified item response theory modeling
Xu L.; Wang S.; Cai Y.; Tu D.,The Automated Test Assembly and Routing Rule for Multistage Adaptive Testing with Multidimensional Item Response Theory,2021,58.0,"Designing a multidimensional adaptive test (M-MST) based on a multidimensional item response theory (MIRT) model is critical to make full use of the advantages of both MST and MIRT in implementing multidimensional assessments. This study proposed two types of automated test assembly (ATA) algorithms and one set of routing rules that can facilitate the development of an M-MST. Different M-MST designs were developed based on the proposed ATA algorithms and routing rules and were evaluated through two sets of simulation studies. Study 1 used simulated item banks and considered a variety of testing factors, and results from which can inform us the theoretical performance of the proposed M-MST designs. Study 2 was designed based on a real multidimensional assessment. In addition, a MCAT was simulated as a baseline design to demonstrate the advantage of the proposed M-MST design in each study. Our simulation results indicate that the proposed ATA algorithms and routing rule can generate M-MSTs with a good-quality control and the same or even better ability estimation results than the MCAT given the same condition. This demonstrates the advantage of using M-MST for multidimensional assessment especially for the one that needs to satisfy many nonstatistical constraints. © 2022 by the National Council on Measurement in Education","['Automated', 'Test', 'Assembly', 'Routing', 'Rule', 'Multistage', 'Adaptive', 'Testing', 'Multidimensional', 'Item', 'Response', 'Theory']","['automated', 'test', 'assembly', 'routing', 'rule', 'multistage', 'adaptive', 'testing', 'multidimensional', 'item', 'response', 'theory']",automated test assembly routing rule multistage adaptive testing multidimensional item response theory
Hong M.; Rebouças D.A.; Cheng Y.,Robust Estimation for Response Time Modeling,2021,58.0,"Response time has started to play an increasingly important role in educational and psychological testing, which prompts many response time models to be proposed in recent years. However, response time modeling can be adversely impacted by aberrant response behavior. For example, test speededness can cause response time to certain items to deviate from the hypothesized model. In this article, we introduce a robust estimation approach when estimating a respondent's working speed under the log-normal model by down-weighting aberrant response times. A simulation study is carried out to compare the performance of two weighting schemes and a real data example is provided to showcase the use of the new robust estimation method. Limitations and future directions are also discussed. © 2020 by the National Council on Measurement in Education","['robust', 'Estimation', 'Response', 'Time', 'Modeling']","['robust', 'estimation', 'response', 'time', 'modeling']",robust estimation response time modeling
Lee S.; Han S.; Choi S.W.,A Bayesian Moderated Nonlinear Factor Analysis Approach for DIF Detection under Violation of the Equal Variance Assumption,2024,61.0,"Research has shown that multiple-indicator multiple-cause (MIMIC) models can result in inflated Type I error rates in detecting differential item functioning (DIF) when the assumption of equal latent variance is violated. This study explains how the violation of the equal variance assumption adversely impacts the detection of nonuniform DIF and how it can be addressed through moderated nonlinear factor analysis (MNLFA) model via Bayesian estimation approach to overcome limitations from the restrictive assumption. The Bayesian MNLFA approach suggested in this study better control Type I errors by freely estimating latent factor variances across different groups. Our experimentation with simulated data demonstrates that the BMNFA models outperform the existing MIMIC models, in terms of Type I error control as well as parameter recovery. The results suggest that the MNLFA models have the potential to be a superior choice to the existing MIMIC models, especially in situations where the assumption of equal latent variance assumption is not likely to hold. © 2024 by the National Council on Measurement in Education.","['Bayesian', 'Moderated', 'Nonlinear', 'Factor', 'Analysis', 'Approach', 'DIF', 'Detection', 'violation', 'Equal', 'Variance', 'Assumption']","['bayesian', 'moderated', 'nonlinear', 'factor', 'analysis', 'approach', 'dif', 'detection', 'violation', 'equal', 'variance', 'assumption']",bayesian moderated nonlinear factor analysis approach dif detection violation equal variance assumption
Jin K.-Y.; Eckes T.,Measuring the Impact of Peer Interaction in Group Oral Assessments with an Extended Many-Facet Rasch Model,2024,61.0,"Many language proficiency tests include group oral assessments involving peer interaction. In such an assessment, examinees discuss a common topic with others. Human raters score each examinee's spoken performance on specially designed criteria. However, measurement models for analyzing group assessment data usually assume local person independence and thus fail to consider the impact of peer interaction on the assessment outcomes. This research advances an extended many-facet Rasch model for group assessments (MFRM-GA), accounting for local person dependence. In a series of simulations, we examined the MFRM-GA's parameter recovery and the consequences of ignoring peer interactions under the traditional modeling approach. We also used a real dataset from the English-speaking test of the Language Proficiency Assessment for Teachers (LPAT) routinely administered in Hong Kong to illustrate the efficiency of the new model. The discussion focuses on the model's usefulness for measuring oral language proficiency, practical implications, and future research perspectives. © 2023 by the National Council on Measurement in Education.","['measure', 'Impact', 'Peer', 'Interaction', 'Group', 'oral', 'assessment', 'Extended', 'ManyFacet', 'Rasch']","['measure', 'impact', 'peer', 'interaction', 'group', 'oral', 'assessment', 'extended', 'manyfacet', 'rasch']",measure impact peer interaction group oral assessment extended manyfacet rasch
Wang S.; Zhang M.; Lee W.-C.; Huang F.; Li Z.; Li Y.; Yu S.,Two IRT Characteristic Curve Linking Methods Weighted by Information,2022,59.0,"Traditional IRT characteristic curve linking methods ignore parameter estimation errors, which may undermine the accuracy of estimated linking constants. Two new linking methods are proposed that take into account parameter estimation errors. The item- (IWCC) and test-information-weighted characteristic curve (TWCC) methods employ weighting components in the loss function from traditional methods by their corresponding item and test information, respectively. Monte Carlo simulation was conducted to evaluate the performances of the new linking methods and compare them with traditional ones. Ability difference between linking groups, sample size, and test length were manipulated under the common-item nonequivalent groups design. Results showed that the two information-weighted characteristic curve methods outperformed traditional methods, in general. TWCC was found to be more accurate and stable than IWCC. A pseudo-form pseudo-group analysis was also performed, and similar results were observed. Finally, guidelines for practice and future directions are discussed. © 2022 by the National Council on Measurement in Education.","['IRT', 'Characteristic', 'curve', 'Linking', 'Methods', 'weight', 'information']","['irt', 'characteristic', 'curve', 'linking', 'methods', 'weight', 'information']",irt characteristic curve linking methods weight information
Binici S.; Cuhadar I.,Validating Performance Standards via Latent Class Analysis,2022,59.0,"Validity of performance standards is a key element for the defensibility of standard setting results, and validating performance standards requires collecting multiple pieces of evidence at every step during the standard setting process. This study employs a statistical procedure, latent class analysis, to set performance standards and compares latent class analysis results with previously established performance standards via the modified-Angoff method for cross-validation. The context of the study is an operational large-scale science assessment administered in one of the southern states in the United States. Results show that the number of classes that emerged in the latent class analysis concurs with the number of existing performance levels. In addition, there is a substantial level of agreement between latent class analysis results and modified-Angoff method in terms of classifying students into the same performance levels. Overall, the findings establish evidence for the validity of the performance standards identified via the modified-Angoff method. Practical implications of the study findings are discussed. © 2022 by the National Council on Measurement in Education.","['validate', 'Performance', 'Standards', 'Latent', 'Class', 'Analysis']","['validate', 'performance', 'standards', 'latent', 'class', 'analysis']",validate performance standards latent class analysis
Ercikan K.; McCaffrey D.F.,Optimizing Implementation of Artificial-Intelligence-Based Automated Scoring: An Evidence Centered Design Approach for Designing Assessments for AI-based Scoring,2022,59.0,"Artificial-intelligence-based automated scoring is often an afterthought and is considered after assessments have been developed, resulting in nonoptimal possibility of implementing automated scoring solutions. In this article, we provide a review of Artificial intelligence (AI)-based methodologies for scoring in educational assessments. We then propose an evidence-centered design framework for developing assessments to align conceptualization, scoring, and ultimate assessment interpretation and use with the advantages and limitations of AI-based scoring in mind. We provide recommendations for defining construct, task, and evidence models to guide task and assessment design that optimize the development and implementation of AI-based automated scoring of constructed response items and support the validity of inferences from and uses of scores. © 2022 by the National Council on Measurement in Education.","['optimize', 'implementation', 'artificialintelligencebased', 'Automated', 'Scoring', 'Evidence', 'center', 'Design', 'Approach', 'Designing', 'assessment', 'AIbased', 'Scoring']","['optimize', 'implementation', 'artificialintelligencebased', 'automated', 'scoring', 'evidence', 'center', 'design', 'approach', 'designing', 'assessment', 'aibased', 'scoring']",optimize implementation artificialintelligencebased automated scoring evidence center design approach designing assessment aibased scoring
Luo X.,Automated Test Assembly with Mixed-Integer Programming: The Effects of Modeling Approaches and Solvers,2020,57.0,"Automated test assembly (ATA) is a modern approach to test assembly that applies advanced optimization algorithms on computers to build test forms automatically. ATA greatly improves the efficiency and accuracy of the test assembly. This study investigated the effects of the modeling methods and solvers in the mixed-integer programming (MIP) approach to ATA in the context of assembling parallel linear test forms and multistage testing (MST) panels. The results of two simulation studies indicated that the newly proposed maximin modeling method significantly improved the parallelism of the test information functions (TIFs) among assembled test forms while maintaining relatively high overall TIFs, and the newly proposed binary minimax method considerably reduced the overall discrepancies from the targets. A comparison of four freely available noncommercial MIP solvers from the utilitarian, as opposed to the benchmarking, perspective was also included in this study. © 2019 by the National Council on Measurement in Education","['Automated', 'Test', 'Assembly', 'MixedInteger', 'Programming', 'Effects', 'Modeling', 'Approaches', 'solver']","['automated', 'test', 'assembly', 'mixedinteger', 'programming', 'effects', 'modeling', 'approaches', 'solver']",automated test assembly mixedinteger programming effects modeling approaches solver
Chen Y.; Zhang J.; Yang Y.; Lee Y.-S.,Latent Space Model for Process Data,2022,59.0,"The development of human-computer interactive items in educational assessments provides opportunities to extract useful process information for problem-solving. However, the complex, intensive, and noisy nature of process data makes it challenging to model with the traditional psychometric methods. Social network methods have been applied to visualize and analyze process data. Nonetheless, research about statistical modeling of process information using social network methods is still limited. This article explored the application of the latent space model (LSM) for analyzing process data in educational assessment. The adjacent matrix of transitions between actions was created based on the weighted and directed network of action sequences and related auxiliary information. Then, the adjacent matrix was modeled with LSM to identify the lower-dimensional latent positions of actions. Three applications based on the results from LSM were introduced: action clustering, error analysis, and performance measurement. The simulation study showed that LSM can cluster actions from the same problem-solving strategy and measure students’ performance by comparing their action sequences with the optimal strategy. Finally, we analyzed the empirical data from PISA 2012 as a real case scenario to illustrate how to use LSM. © 2022 by the National Council on Measurement in Education.","['Latent', 'Space', 'Process', 'Data']","['latent', 'space', 'process', 'data']",latent space process data
Li L.; Becker B.J.,Assessing Differential Bundle Functioning Using Meta-Analysis,2021,58.0,"Differential bundle functioning (DBF) has been proposed to quantify the accumulated amount of differential item functioning (DIF) in an item cluster/bundle (Douglas, Roussos, and Stout). The simultaneous item bias test (SIBTEST, Shealy and Stout) has been used to test for DBF (e.g., Walker, Zhang, and Surber). Research on DBF may have the potential to reveal the mechanism underlying DIF. However, an unresolved issue is the lack of an effect size for DBF, making it difficult to assess and compare the amounts of DBF within and between tests. We propose using meta-analysis techniques to study DBF. By meta-analyzing DIF indices, we can examine the heterogeneity of DIF across items, using the weighted average of DIF indices in an item bundle as a measure of effect size for DBF. A Monte Carlo simulation study compared the performance of our proposed effect size for DBF and a new test of nonzero average DIF in an item bundle with that of a DBF test using SIBTEST. When the primary and secondary dimensions were moderately correlated, our proposed effect size for DBF had little bias; the test of nonzero average DIF also showed power and Type I error levels comparable to those of the DBF test. © 2021 by the National Council on Measurement in Education","['assess', 'Differential', 'Bundle', 'Functioning', 'MetaAnalysis']","['assess', 'differential', 'bundle', 'functioning', 'metaanalysis']",assess differential bundle functioning metaanalysis
Casabianca J.M.; Donoghue J.R.; Shin H.J.; Chao S.-F.; Choi I.,Using Linkage Sets to Improve Connectedness in Rater Response Model Estimation,2023,60.0,"Using item-response theory to model rater effects provides an alternative solution for rater monitoring and diagnosis, compared to using standard performance metrics. In order to fit such models, the ratings data must be sufficiently connected in order to estimate rater effects. Due to popular rating designs used in large-scale testing scenarios, there tends to be a large proportion of missing data, yielding sparse matrices and estimation issues. In this article, we explore the impact of different types of connectedness, or linkage, brought about by using a linkage set—a collection of responses scored by most or all raters. We also explore the impact of the properties and composition of the linkage set, the different connectedness yielded from different rating designs, and the role of scores from automated scoring engines. In designing monitoring systems using the rater response version of the generalized partial credit model, the study results suggest use of a linkage set, especially a large one that is comprised of responses representing the full score scale. Results also show that a double-human-scoring design provides more connectedness than a design with one human and an automated scoring engine. Furthermore, scores from automated scoring engines do not provide adequate connectedness. We discuss considerations for operational implementation and further study. © 2023 by the National Council on Measurement in Education.","['linkage', 'set', 'improve', 'Connectedness', 'Rater', 'Response', 'Estimation']","['linkage', 'set', 'improve', 'connectedness', 'rater', 'response', 'estimation']",linkage set improve connectedness rater response estimation
Bolt D.M.; Liao X.,On the Positive Correlation between DIF and Difficulty: A New Theory on the Correlation as Methodological Artifact,2021,58.0,"We revisit the empirically observed positive correlation between DIF and difficulty studied by Freedle and commonly seen in tests of verbal proficiency when comparing populations of different mean latent proficiency levels. It is shown that a positive correlation between DIF and difficulty estimates is actually an expected result (absent any true DIF) in the presence of systematically negative ICC asymmetry. Under such conditions, conditional upon sum score, correct responses to easier items are indicative of higher latent proficiency than correct responses to more difficult items. Negative ICC asymmetry, which can occur as a result of disjunctively interacting latent subprocesses (including disjunctive combinations of proficiency-based guessing and problem-solving processes, for example), is suggested to be widely present among items used in many verbal tests due to their general lack of problem-solving complexity and the anticipated presence of proficiency-related guessing. When systematic, negative ICC asymmetries result in a shrinkage of units at the lower end of the IRT metric when traditional symmetric IRT models are applied. We demonstrate by simulation an ensuing DIF-difficulty correlation artifact in application of a model-based DIF approach, as well as for the Mantel-Haenszel and Standardization DIF detection methods. A sensitivity analysis illustration demonstrates how assuming a fixed level of negative asymmetry in the ICCs effectively makes an observed positive correlation between DIF and difficulty seen when fitting symmetric ICCs go away. © 2021 by the National Council on Measurement in Education","['Positive', 'Correlation', 'DIF', 'Difficulty', 'New', 'Theory', 'Correlation', 'Methodological', 'Artifact']","['positive', 'correlation', 'dif', 'difficulty', 'new', 'theory', 'correlation', 'methodological', 'artifact']",positive correlation dif difficulty new theory correlation methodological artifact
Guo W.; Wind S.A.,Examining the Impacts of Ignoring Rater Effects in Mixed-Format Tests,2021,58.0,"The use of mixed-format tests made up of multiple-choice (MC) items and constructed response (CR) items is popular in large-scale testing programs, including the National Assessment of Educational Progress (NAEP) and many district- and state-level assessments in the United States. Rater effects, or raters’ scoring tendencies that result in performances receiving different scores than are warranted given their quality, are concerns for the interpretation of scores on CR items. However, there are few published studies in which researchers have systematically considered the impact of ignoring rater effects when they are present on estimates of student ability using large-scale mixed-format assessments. Using results from an analysis of NAEP data, we systematically explored the impacts of rater effects on student achievement estimates. Our results suggest that in conditions that reflect many large-scale mixed-format assessments, directly modeling rater effects yields more accurate student achievement estimates than estimation procedures that do not incorporate raters. We consider the implications of our findings for research and practice. © 2021 by the National Council on Measurement in Education","['examine', 'impact', 'ignore', 'Rater', 'Effects', 'MixedFormat', 'test']","['examine', 'impact', 'ignore', 'rater', 'effects', 'mixedformat', 'test']",examine impact ignore rater effects mixedformat test
Choe E.M.; Han K.C.T.,Constructing a Robust Score Scale from IRT Scores with Informed Boundaries,2022,59.0,"In operational testing, item response theory (IRT) models for dichotomous responses are popular for measuring a single latent construct (Formula presented.), such as cognitive ability in a content domain. Estimates of (Formula presented.), also called IRT scores or (Formula presented.), can be computed using estimators based on the likelihood function, such as maximum likelihood (ML), weighted likelihood (WL), maximum a posteriori (MAP), and expected a posteriori (EAP). Although the parameter space of (Formula presented.) is theoretically unrestricted, the range of finite (Formula presented.) is constrained by the estimator and test form properties, which is important to consider but often overlooked when developing a score scale for reporting purposes. Irrespective of the estimator or test forms at hand, a common practice is to fix arbitrary points symmetric about zero (e.g., −4 and 4) as anchors for deriving a score transformation, possibly resulting in unintended gaps or truncations at the extremes. Therefore, a systematic framework is proposed for using IRT scores to construct a robust score scale with informed boundaries that are logical and consistent across test forms. © 2022 by the National Council on Measurement in Education.","['construct', 'Robust', 'Score', 'Scale', 'IRT', 'score', 'Informed', 'Boundaries']","['construct', 'robust', 'score', 'scale', 'irt', 'score', 'informed', 'boundaries']",construct robust score scale irt score informed boundaries
Frey A.; König C.; Fink A.,A Highly Adaptive Testing Design for PISA,2023,,"The highly adaptive testing (HAT) design is introduced as an alternative test design for the Programme for International Student Assessment (PISA). The principle of HAT is to be as adaptive as possible when selecting items while accounting for PISA's nonstatistical constraints and addressing issues concerning PISA such as item position effects. HAT combines established methods from the field of computerized adaptive testing. It is implemented in R and code is provided. HAT was compared to the PISA 2018 multistage design (MST) in a simulation study based on a factorial design with the independent variables response probability (RP;.50,.62), item pool optimality (PISA 2018, optimal), and ability level (low, medium, high). PISA-specific conditions regarding sample size, missing responses, and nonstatistical constraints were implemented. HAT clearly outperformed MST regarding test information, RMSE, and constraint management across ability groups but it showed slightly weaker item exposure. Raising RP to.62 did not decrease test information much and is therefore a viable option to foster students’ test-taking experience with HAT. Test information for HAT was up to three times higher than for MST when using a hypothetical optimal item pool. Summarizing, HAT proved to be a promising and applicable test design for PISA. © 2023 The Authors. Journal of Educational Measurement published by Wiley Periodicals LLC on behalf of National Council on Measurement in Education.","['Highly', 'Adaptive', 'Testing', 'Design', 'PISA']","['highly', 'adaptive', 'testing', 'design', 'pisa']",highly adaptive testing design pisa
